RASMC_RNA_0H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
Abi1	42.5152182892152	40.39494361235	-0.0738046285695179	0.256218045730538
Abi2	16.7060621748556	16.0172580460441	-0.0607445148726233	0.717967490352692
Abl1	1.48293797648574	0.660977973838252	-1.16578415682836	0.164839259944002
Abl2	2.73544119422067	2.22968192273081	-0.294935625511229	0.239316827146033
Abr	8.53175331984526	12.7515985228314	0.579763954197811	0.0253004702404079
Abra	1.20279398289244	0.0865035609849017	-3.79748622196787	0.45040200478847
Abracl	129.842849836857	57.0634471111057	-1.1861277645749	0.0213214802397364
Abt1	13.8478242779936	19.9441561070192	0.526306757407156	0.0194483663139482
Abtb1	9.32322652888859	8.53756997401075	-0.127003823143424	0.379119581686155
Abtb2	4.66167612767078	12.8530314968282	1.46318799036639	0.0266017586433733
Ac1576	0.456281666215226	0.946296156449241	1.05236707933107	0.367751096964794
Acaa1a	28.5820556606263	32.4067608713594	0.181185146477174	0.46705768536782
Acaa1b	1.23694790692097	0.945407823152266	-0.387776035626092	0.496200358904473
Acaa2	26.6165352955765	29.3970959829893	0.143350858018959	0.247746255490857
Acaca	15.9443870077223	15.1541250110732	-0.0733380790205054	0.751575265255465
Acad10	5.26430567360492	3.72986329948806	-0.497120505776792	0.124720336208715
Acad11	20.3436697223359	9.04584011516317	-1.1692535435712	0.00879284617484546
Acad9	15.792848187174	10.7363711623672	-0.556764927583232	0.0747061365271209
