Gene	RASMC_RNA_0H	RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H
Gykl1	0.103420027076352	0.118522470997518	0.126883663686048	0.101542388937317	0.0953549922829461
Gyltl1b	0.613425323991766	0.196762993468833	0.107460977209765	0.356765812036697	0.156858824457341
Gypc	54.0805174445394	42.6858871317371	13.1837545409748	49.3980182401541	23.2041086902367
Gys1	17.9365842655067	13.6203991266655	6.27051466751657	27.7518067943112	6.18317429712613
Gys2	0.0965499600193045	1.97939569124215	0.0906834251214686	0.144848629302049	0.0890284997558734
Gzf1	7.56134491743006	6.95903285858334	6.84505749810215	9.51562512281541	5.32490788103004
Gzma	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Gzmb	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Gzmc	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Gzmf	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Gzmk	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Gzmm	0.104509607930037	0.10510269114976	0.135184670865341	0.103545914660419	0.160125065273883
Gzmn	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
H19	0.541977393082542	0.199613041908773	0.306191468410388	0.117455843618487	0.0930238562542856
H1f0	74.7294082903888	43.2585062473842	77.8556227618441	107.366782990169	162.742976243234
H1fnt	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
H1foo	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
H2afb3	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
H2afj	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
H2afv	20.9967276917306	17.4370923606515	20.5660818578229	18.0800808399451	13.0922448292429
H2afx	58.0938507700998	54.6134161246268	217.592315089051	41.4134641795438	142.821844936827
H2afy	58.6027978564286	70.4110799830262	55.1335779590246	102.543518253799	86.7331391510121
H2afy2	10.5237206117385	7.30070074304391	0.767259758184631	6.17886399062209	0.498222293837495
H2afz	281.790806056431	283.543823525123	363.408224695128	217.393957205435	146.62153753847
H3f3b	180.707131750317	438.164371588218	1197.64098217987	229.800981541551	711.456811521248
H6pd	6.27894901732722	4.30368882894791	3.96206733739793	9.01885167340727	5.98192548447325
Haao	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Habp2	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Habp4	13.161955366123	8.92378169686204	29.0594670356854	26.203900582633	36.004405269776
Hacd1	53.1398523283267	65.61335229164	34.5806570240754	42.0712125120006	10.8460094202928
Hacd3	25.6550818229599	19.3035019451824	17.3717053112801	39.7286993268986	49.1962132539598
Hacd4	6.8070120929776	4.46687963414349	1.99040363929455	6.92948752658859	0.228562643051082
Hace1	11.769878323495	8.6758337182779	7.65507965585753	14.6314212524562	8.71462252502824
Hacl1	10.7715865856897	7.46400709928637	5.1106603062638	14.7925957618965	7.22820347942967
Hadh	45.014631782163	32.8468541232916	51.6541540390298	51.3219204311702	47.6925285000438
Hadha	65.2687412165191	60.7337762663482	81.6578120290687	86.0043580326671	88.2881665728626
Hadhb	86.1886375934232	91.5912303956111	105.391918778679	155.321690996449	199.79712657906
Hagh	19.0281698137808	22.2465258013137	38.9252200121157	35.480552583786	55.0842126362033
Hal	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hamp	0.10163681074593	0.102749342622921	0.0963754153713126	0.291442353498309	0.0939464110048576
Hand1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hand2	6.14711734120613	8.98417689465564	7.20758961817865	12.5009412595779	10.2754259278624
Hao1	0.106090178915058	0.216527117195378	0.218329985301083	0.106687788689391	0.0965082281367671
Hao2	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hap1	0.44410967311409	2.36518256492966	6.69551102854922	5.69171234865795	7.93508548744758
Hapln1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hapln2	0.106051618778279	0.125472458237611	0.145176188082063	0.123688914037664	0.136020667308494
Hapln3	0.596357857786987	7.69140558387558	23.4806405968941	1.07184196004338	0.869130439101222
Hapln4	0.153326047893829	0.1717372961735	0.263162631014135	0.371871619138419	0.756627078293669
Harbi1	3.75179653185886	0.765953875179591	0.958667833829385	5.72525973515743	4.17965961213735
Hars	65.5351156176438	93.1591571087976	73.9115940368522	82.6011497906731	91.3940519021596
Hars2	12.7702757853322	9.12459970887427	7.51189306175796	13.8068328325322	8.23370156650606
Has1	0.371873044604907	1.31204027776086	0.939954661577215	0.768775407745509	0.124053224565717
Has2	0.0934923721648621	2.49440362238542	0.150201713430777	3.89494489094196	1.22642246783026
Has3	0.194459576220928	0.806840106263546	0.339831297959655	0.109063445412839	0.10538370778959
Hat1	28.8807339635593	30.9213522461235	19.9086550853167	22.7504229230267	19.6783954166931
Haus1	0.140992008524822	0.145609935322037	0.280539565739261	0.108108201914704	0.130866564291067
Haus3	7.31333680548538	5.38602788881192	3.71018560457625	6.12414692587361	6.52299657043167
Haus4	16.0675227094401	14.1453192404511	11.8122563103115	11.990491837892	10.6574541864092
Haus7	42.7851234265161	35.7973206447133	34.5266149257208	171.182420201652	21.3433548029408
Haus8	12.3549548291093	17.2578971909397	38.6286033245155	8.3079271182063	41.1114738379104
Havcr1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Havcr2	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hax1	83.9838940147326	66.1263489441293	35.2301674544687	113.848995423506	78.3425680070227
Hba1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hba2	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hbb	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hbb-b1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hbe1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hbe2	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hbegf	54.7566957465338	714.284841848623	712.549957918844	22.3484838520178	56.4646407007158
Hbg1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hbp1	44.8232943467239	13.7485765185318	12.2451736117179	51.8176243548425	24.1652250411221
Hbs1l	27.6046521323636	34.3641550061376	29.6855355622737	45.2943238034178	49.0442246381057
Hbz	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hccs	9.02356609942906	8.47819271469513	4.0993335140144	8.59775888072338	7.55805560635262
Hcfc1	4.20998408342608	5.084724157576	1.72303229802052	5.94275074904916	3.6815703747308
Hcfc1r1	248.994212472208	270.072808267033	201.911547103186	361.012044006271	173.982292080919
Hcfc2	12.5466100713921	18.490750212379	10.9282121395844	20.1933277148743	8.30020415169905
Hck	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hcls1	0.132666449396875	0.178050793846448	0.0937436427297503	0.424778263833203	0.0914913798038312
Hcn1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hcn2	4.40088454124627	5.23799662237457	8.47998981322063	5.15194697244504	7.04515524107026
