RASMC_RNA_0H	RASMC_RNA_PDGF_24H	LOG2_FOLD_CHANGE	P_VALUE
Abhd2	13.597391943707	24.1821198160089	0.830610756474336	0.00675191835044928
Abhd3	0.921771424403841	3.30462331779048	1.84200488458279	0.13831465255255
Abhd4	61.4393734329192	138.048486860013	1.16793966628473	0.000716837098684144
Abhd5	11.7618522174004	24.6323948876818	1.06644163197679	0.142115950791405
Abhd6	12.4441566265505	50.2662065823027	2.01412035954082	0.00129903064024617
Abhd8	17.3164071382216	29.0751436024527	0.747646690923708	0.0247252991393786
Abi1	42.5152182892152	45.8306483613983	0.10833335025152	0.528605452566976
Abi2	16.7060621748556	26.9999386872215	0.692584418702239	0.00744352999833186
Abl1	1.48293797648574	2.49598407551457	0.75115047108236	0.247665464757195
Abl2	2.73544119422067	4.23766954609956	0.631497549207114	0.0147451393727269
Abr	8.53175331984526	24.601645423339	1.52784065157795	0.00164178243793717
Abra	1.20279398289244	0.238462454544738	-2.33455551614232	0.496217264410952
Abracl	129.842849836857	150.891783329682	0.216747677272501	0.145971042699259
Abt1	13.8478242779936	16.5139583519371	0.254026649020119	0.146797122483267
Abtb1	9.32322652888859	15.4175191527016	0.725669412481408	0.0956595749739556
Abtb2	4.66167612767078	6.53777271917703	0.487950447779289	0.135786129284364
Ac1576	0.456281666215226	1.10672411466629	1.27829903907402	0.401033574308297
Acaa1a	28.5820556606263	40.9000697718105	0.516993623505708	0.167157396086296
Acaa1b	1.23694790692097	1.68201779779604	0.443408227506328	0.302266035128519
Acaa2	26.6165352955765	55.0689870297806	1.04891728475025	0.00888258660978159
Acaca	15.9443870077223	23.2887121976147	0.546582231334349	0.0665001144526408
Acad10	5.26430567360492	6.17625197662081	0.230488350329034	0.325998893377796
Acad11	20.3436697223359	34.2935656398234	0.753357969567531	0.0179645597195716
Acad9	15.792848187174	15.0545150364892	-0.0690751457863032	0.671756522481098
Acadl	59.4831528957707	110.423473589519	0.892493865424001	0.00813371696925917
Acadm	32.2590856131402	53.8332887410254	0.738793018298265	0.00920963393469506
Acads	14.4426227003102	30.5139706531659	1.07913717245268	0.0165020839429515
Acadsb	20.0334472703701	23.8403389657651	0.250994053078873	0.500199506681443
Acadvl	20.595691625692	45.914912316471	1.1566202161937	0.0029002395645555
Acan	1.57514651330599	8.62778670115457	2.45350448208282	0.00627078621917244
Acap2	23.1775810297442	38.8958112262855	0.746884791921338	0.00631670187316162
Acap3	8.35097461246384	11.4199537325962	0.451540321383626	0.246274628186481
Acat1	39.6638553387384	43.5991868401762	0.136476313055961	0.49409551649659
Acat2	37.2594241592492	50.4877718526212	0.438328631434102	0.0338669264704754
Acbd3	33.4156708829154	38.9824328378939	0.222299290625408	0.0802075197881272
Acbd4	11.5537446797631	15.409116313162	0.415423609326766	0.246043385775323
Acbd5	6.02864941939803	10.5716199217977	0.810289721545104	0.194423445859088
Acbd6	14.3959385478917	33.108710598274	1.20154897787217	0.0444878692693812
Acbd7	0.106825354756575	0.397616253525442	1.89612262367614	0.23654175240906
Accs	7.08937479703557	6.58062675796749	-0.107433406668181	0.702649673040378
Acd	40.6331820066568	54.8762783313924	0.433524295088915	0.0754176631499809
Ace	0.265945601163028	1.40297478717949	2.39928600299166	0.174153055944344
Acer2	0.400553731092025	0.425335751437864	0.0866063435920241	0.884904053372084
Ache	1.78849937502436	4.76854004023331	1.41479801699997	0.109087827020563
Acin1	49.6677270022832	58.3660271692829	0.232820146210764	0.0101292087615755
Ackr3	92.2257351837918	18.6218069443039	-2.30817631466756	0.049038207010217
Acly	97.858458115861	143.659865727973	0.553888615644364	0.0220220910217677
Aco1	72.2511482720927	56.0767882609773	-0.365616793365401	0.0380888180017495
Aco2	86.8268068363897	137.179066874153	0.659847914220508	0.0627954052953559
Acot12	0.101680246236507	0.103023169791217	0.0189294051400444	0.875223881985826
Acot13	6.28518682984664	9.99795658324846	0.669677632035917	0.366417564503706
Acot2	3.20784677325603	2.44331330618741	-0.392766359012252	0.0231149384887737
Acot3	3.96652241147552	5.51943677839069	0.476646356669861	0.0229719637124315
Acot7	27.1726645289313	107.811428008432	1.9882821647436	0.00591099348272112
Acot8	9.23034193793864	10.018410007968	0.118197562265598	0.714904783835952
Acot9	42.1631337301167	78.8129941319363	0.902451412963505	0.0155722019132715
Acox1	24.2258952986424	34.6285096212943	0.515410313376486	0.118527352653972
Acox3	7.39084392911919	8.89412448559011	0.267113488341174	0.131898629245986
Acp1	16.6305147028993	30.3341229541826	0.867108779827305	0.422235957283141
Acp2	24.2870244162628	43.7988264771724	0.850706470012058	0.0368396300222743
Acp5	4.54797082621502	19.092413228905	2.06970456203842	0.003808732312457
Acp6	18.3279426256852	27.5511349315889	0.588066902375004	0.196654809211285
Acpp	0.0975859771075087	1.58535400408305	4.02198736439568	0.0577421844891714
Acpt	0.100057766769848	0.182949293844947	0.870610689412433	0.34962675666624
Acrbp	1.1232280613395	1.29714812868252	0.207692354792511	0.832037033238866
Acsf2	11.5142621184666	15.9929203164017	0.474011439584484	0.0375028659278459
Acsl1	8.03721685427442	10.9547968375015	0.446794815758193	0.0205334681526915
Acsl3	32.7515274637981	42.6879247243125	0.382265835050657	0.181050344958026
