RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	LOG2_FOLD_CHANGE	P_VALUE
Abhd13	6.23690448731186	6.20298833886415	-0.00786675272754306	0.969498085916394
Abhd14a	3.56115670357868	4.08212360472937	0.196973946322426	0.4565013427806
Abhd14b	21.9495807245687	49.2814355757084	1.16685090054873	0.0011983818970735
Abhd16a	26.2428556517793	46.4409344219573	0.823472283155414	0.00502065730175023
Abhd17a	49.3233204162711	75.1682150478389	0.607852821484877	0.00503183156448602
Abhd17b	23.7792004133683	17.6215292160257	-0.432361076228692	5.83238162308209e-05
Abhd17c	13.2388091740853	13.1742255280391	-0.00705520532669397	0.941338216214278
Abhd2	54.4305232578194	24.1821198160089	-1.17047518775596	0.0517365280708723
Abhd3	2.19610905578344	3.30462331779048	0.589536135057524	0.196260105115473
Abhd4	48.0181845443387	138.048486860013	1.5235223099569	0.000162286580473656
Abhd5	38.4830299593745	24.6323948876818	-0.643665493237154	0.0254657264603575
Abhd6	6.56354391939542	50.2662065823027	2.93704191893087	0.00100918780559516
Abhd8	9.9438347926144	29.0751436024527	1.54791208451059	0.0019347915102136
Abi1	39.4148660258107	45.8306483613983	0.217572824800159	0.27606863147606
Abi2	13.6563440933754	26.9999386872215	0.983384816198166	0.00887709261686703
Abl1	0.396304194893324	2.49598407551457	2.65492858629807	0.0772130661213102
Abl2	4.19604261382917	4.23766954609956	0.0142417609960376	0.937029020500746
Abr	8.2325213532171	24.601645423339	1.57934855611622	0.000156181560502726
Abra	0.488724113487494	0.238462454544738	-1.03525815389192	0.432355494439443
Abracl	66.8041189335909	150.891783329682	1.17550528476992	0.00669725601124654
Abt1	14.1331741108984	16.5139583519371	0.224600460919588	0.303305026701173
Abtb1	3.18859606353267	15.4175191527016	2.27357738717721	0.0262213508826108
Abtb2	19.7236856790029	6.53777271917703	-1.59305803816331	0.00510270819640206
Ac1576	1.20336530987474	1.10672411466629	-0.12077904263146	0.923559418027163
Acaa1a	17.5059486512339	40.9000697718105	1.22425806042753	0.0443710162538919
Acaa1b	0.259927607732283	1.68201779779604	2.69401119088521	0.0325498672496859
Acaa2	22.7531007482165	55.0689870297806	1.27517690460394	0.00194116803405875
Acaca	12.6651658234375	23.2887121976147	0.878764898445721	0.0249905613057332
Acad10	2.22106365168179	6.17625197662081	1.4754808738693	0.0149806643439756
Acad11	12.0732870660381	34.2935656398234	1.50611939799669	0.00688097840474773
Acad9	5.95543284305891	15.0545150364892	1.33791796146459	0.0048619258595048
Acadl	71.6721626750944	110.423473589519	0.623562096836905	0.0117524462237437
Acadm	35.9855821123517	53.8332887410254	0.581079568082647	2.0873243670572e-05
Acads	14.0919705920386	30.5139706531659	1.11459655465214	0.00965815193061099
Acadsb	13.0899172438379	23.8403389657651	0.864948772009508	0.0111646457612178
Acadvl	27.245867600911	45.914912316471	0.752925358526339	0.00394151892382938
Acan	2.08633667669898	8.62778670115457	2.04801852269154	0.0073972425600713
Acap2	28.7060194383055	38.8958112262855	0.438261505619268	0.0077388203449443
Acap3	17.0223519433493	11.4199537325962	-0.575873579300095	0.0956007601992454
Acat1	38.7042169895262	43.5991868401762	0.171810465121132	0.126032095192458
Acat2	22.8687283213434	50.4877718526212	1.14255786622865	0.00220582828476458
Acbd3	29.984452710506	38.9824328378939	0.378609489604117	0.0196052484467734
Acbd4	5.18366547107103	15.409116313162	1.57173960638217	0.00563312323853854
Acbd5	4.64909164796235	10.5716199217977	1.18517569102595	0.113203032832981
Acbd6	10.457404064802	33.108710598274	1.66268606391167	0.0307954737091351
Acbd7	2.19246734850234	0.397616253525442	-2.46310672051203	0.214563679310885
Accs	1.44430782016504	6.58062675796749	2.18784674552745	0.04225553732835
Acd	32.9455338624731	54.8762783313924	0.736099737362799	0.00601052381953143
Ace	0.20469825665533	1.40297478717949	2.77691836197003	0.161259053479325
Acer2	0.612327479799474	0.425335751437864	-0.525701304009613	0.507407475516212
Ache	1.54213450641058	4.76854004023331	1.62861902724737	0.0385477870790371
Acin1	29.1846544039253	58.3660271692829	0.999918886536811	5.25167149149725e-05
Ackr3	13.9859692067538	18.6218069443039	0.413012835953568	0.25055434902975
Acly	208.660315299096	143.659865727973	-0.538499170996686	0.025707351807683
Aco1	54.430776006347	56.0767882609773	0.0429811185125081	0.663023347755371
Aco2	78.0754817871327	137.179066874153	0.813118875298078	9.88647730502112e-05
Acot12	0.847998292972671	0.103023169791217	-3.04109252629652	0.429736758574406
Acot13	7.27686178114851	9.99795658324846	0.458316854048568	0.343179252447983
Acot2	0.982095017663903	2.44331330618741	1.31490435521671	0.00284290565109328
Acot3	0.727774197773957	5.51943677839069	2.92295824868931	0.000467947973635056
Acot7	60.9904559496058	107.811428008432	0.821854705542038	0.0128841870956232
Acot8	5.79653458052829	10.018410007968	0.789391003384424	0.0187180650174196
Acot9	40.4674440822134	78.8129941319363	0.961671779220401	0.00554560343886563
Acox1	20.793498020566	34.6285096212943	0.735827818254263	0.020185753967917
Acox3	4.4306293203857	8.89412448559011	1.00534096562726	0.00162676771548825
Acp1	21.7870697212799	30.3341229541826	0.477469427096101	0.595858514951909
Acp2	5.01508859153638	43.7988264771724	3.12654512414656	0.0127814809250968
Acp5	3.24443770359735	19.092413228905	2.55695909674904	0.000562899173323654
Acp6	11.2065030393596	27.5511349315889	1.29777559081599	0.000634715521244102
Acpp	0.0911974910503535	1.58535400408305	4.11966708023259	0.0572218780921829
Acpt	1.08657645134155	0.182949293844947	-2.57027393364976	0.0271053947054431
Acrbp	0.857580737740996	1.29714812868252	0.596998831838237	0.520207054073935
Acsf2	6.66719882537356	15.9929203164017	1.2622807437212	0.0032020327659753
Acsl1	17.3600979975584	10.9547968375015	-0.664212362768669	0.0341664448083266
Acsl3	89.6430398897671	42.6879247243125	-1.07036354538841	8.20415430384185e-05
Acsl4	54.5066840258411	48.64291163608	-0.164203567744122	0.403243425696548
Acsl5	34.8836433851593	96.7938716157285	1.47236497920048	0.000350388113471709
Acsm3	0.445544479540978	0.785696873215626	0.818403353137304	0.262223101837542
Acss2	24.0260139232239	19.2861297363136	-0.317033657403038	0.0747621604612178
Acss3	0.549624559492438	0.394327718226846	-0.47905134670905	0.744442498614153
Acta1	51.1810573017681	3.79282482060015	-3.75426530652596	0.000211534651045222
Acta2	6198.40512074431	945.178031479337	-2.71323904828257	4.62938145541921e-05
Actb	6234.51748676033	3821.41512624568	-0.706170920262428	0.0112869581883832
