RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
Abcc9	0.872482433886356	0.155491541399211	-2.4882899839625	0.141086202561799
Abcd1	1.8427225954902	2.98382558522224	0.695324304433485	0.0758807376192807
Abcd3	23.6325280121424	31.6230315999105	0.420201715796736	0.0522079442915563
Abcd4	10.7123723528237	9.56216427632891	-0.163868917219224	0.43193725250162
Abce1	43.795496705606	51.2366261689664	0.226392948581148	0.158354054807653
Abcf1	54.9138135391066	69.6480786598664	0.342914450591001	0.0394570919114887
Abcf2	43.8480209286348	63.7355899703052	0.53958747038507	0.069418122817449
Abcf3	20.7578100655366	39.4633349513714	0.926858631491058	0.0168708344268464
Abcg1	0.498949342688453	0.640912198375657	0.361233379588259	0.53444296727785
Abcg3	1.27686821569057	2.17580843218752	0.768941907326183	0.115396701340577
Abcg3l1	8.08080252250334	6.36506475102425	-0.344323386789849	0.116939341027934
Abcg3l2	1.45509397742751	3.05555395901473	1.0703216254846	0.154671441711081
Abcg3l3	4.86379203460382	10.18590328953	1.06642047604349	0.0138211700511553
Abcg3l4	0.620046239929793	0.960885299847154	0.63198841940785	0.591158309172074
Abhd1	8.27498164018947	7.606080442043	-0.121602913979173	0.243285081322476
Abhd11	6.98632007296581	10.4794580706905	0.584959466673644	0.207767296044765
Abhd12	34.2507095579598	45.8621411628085	0.421169835394182	0.0280985742959911
Abhd13	6.23690448731186	5.53484611430882	-0.172286959266088	0.464053558087928
Abhd14a	3.56115670357868	3.44739284217898	-0.0468402127218624	0.889702301777499
Abhd14b	21.9495807245687	23.4965514088713	0.0982556458145708	0.742982244288069
Abhd16a	26.2428556517793	30.0101769655383	0.193527109011443	0.171065664682708
Abhd17a	49.3233204162711	269.463685015527	2.44974902798907	0.00196520494379498
Abhd17b	23.7792004133683	18.7045239657127	-0.346312955163061	0.000123604836197194
Abhd17c	13.2388091740853	11.6612486967172	-0.183051076245973	0.188927418456955
Abhd2	54.4305232578194	27.4705329907118	-0.986531002968222	0.0601127128759692
