RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	LOG2_FOLD_CHANGE	P_VALUE
Actr3b	17.1735744275415	10.9155348442049	-0.653807524528094	0.0100871176078541
Actr5	2.2633472174319	1.872032896713	-0.273852136508165	0.467523115444532
Actr6	11.1291981619934	9.98195243761683	-0.156955718171836	0.506234765859795
Actr8	15.515096450675	8.3463528057591	-0.894454854848288	0.0435891336493296
Actrt3	0.105682835572453	0.120053782708549	0.183939780251603	0.630205791034044
Acvr1	21.9338406593869	24.8125692709112	0.17791267701011	0.214918686923049
Acvr1b	3.16887038858061	2.2505341025169	-0.493701226437762	0.58095411479856
Acvr2a	4.33935449708432	8.02059256405492	0.886228377623133	0.00421215716396809
Acvr2b	1.25484942780099	1.15076423899523	-0.124921968468796	0.926520540794703
Acvrl1	0.586643475153772	0.262292804939136	-1.16130575775145	0.190274182069401
Acy1	26.4901912632869	14.8205747138449	-0.837856866514541	0.126482278880923
Acy3	10.064063498381	4.36285696191011	-1.20586784968207	0.0713319499802823
Acyp1	31.324697875228	10.095237682987	-1.63362571692698	0.0410227153441662
Acyp2	3.4538344752761	2.61810161233972	-0.399677852019088	0.680643695065015
Ada	6.23760144299475	4.55753550741715	-0.452737477157248	0.258621611118344
Adal	2.05935194294554	2.30001254649287	0.159451323633107	0.844956130631353
Adam10	10.5354730289943	15.511660495862	0.55809804186243	0.104783952050756
Adam15	18.1167020128394	19.8591656790153	0.132484664530294	0.47703111086082
Adam17	23.069734557439	18.8445662430967	-0.291852816339398	0.309395263885062
Adam19	29.0059233288493	3.15239252114267	-3.20182845581819	0.0103495787493621
Adam1a	3.08491323361144	2.16762435394647	-0.509115151185405	0.271871809560379
Adam23	0.751749604694306	0.567253742014766	-0.406257983175897	0.59325786057473
Adam4	0.252496055602042	0.23029292731834	-0.132790746574611	0.779756134737989
Adam4l1	0.215184129432026	0.106405019253375	-1.01600547199496	0.0464518899871118
Adam9	56.2340564738497	58.3279633310887	0.0527435794577112	0.633427471213939
Adamts1	344.224843557941	142.388496288648	-1.2735186297898	0.0133336349486391
