BRD4_UNSTIM	BRD4_2H	BRD4_24H
Lmcd1	15636.9453	20418.9663	11298.738
Lmna	13086.479	12858.60875	20358.3158
Lmo1	1662.2058	1834.71565	2928.76865
Lmo4	2878.6633	3049.33515	4058.17385
Lnc215	22187.97005	36372.31115	23588.7486
LOC100912041	12314.0958	13243.9486	14074.5552
LOC500956	2821.6399	3137.9147	4349.42425
LOC688459	7357.18535	12234.52735	7865.1696
Loxl4	4682.7042	6844.3681	7178.78385
Lrrc8a	10047.13175	12567.32925	14869.6073
Lrrc8c	2542.17825	2806.4526	3038.8196
Lrrfip1	42344.82695	49057.15095	57770.61835
Lrrfip2	4007.18655	4128.99745	4310.32645
Lrsam1	13307.0453	15623.6256	19232.1648
Lyar	2337.3934	2686.72645	3728.0589
Lypla2	3610.98925	3764.84925	5193.24275
Mad2l1bp	1758.62725	1343.2579	2664.70545
Maff	10010.8078	9069.21945	14448.45005
Map1a	4914.1257	5013.94065	6223.64275
Map1b	4395.4515	5216.8899	5162.40905
Map1s	6156.94685	6303.6052	10973.15335
Map3k11	14783.38325	14864.6358	19999.6182
Map3k6	1949.14695	2230.13585	2613.408
Map4k4	15335.929	15615.63815	21192.31465
Map6	6968.3868	8750.3952	10291.30225
Map7d1	10097.4902	8646.4313	14755.18255
Mapkapk2	3164.0583	3125.2412	4592.753
March3	3249.96275	3234.4642	3453.88905
Mat2b	2193.1117	2086.01415	2741.84115
Mcam	4967.28105	5171.8959	7141.8154
Mcl1	11107.24735	11859.30475	17392.33235
Med13	5199.7212	5400.16365	5493.2069
Med21	5237.36925	8647.1545	6966.58695
Metrnl	18395.42135	21182.05875	22695.15725
Mfsd2a	3550.75245	5030.89455	4534.54825
Mical2	31821.58545	32414.3368	38703.63175
Mid1ip1	2374.29465	2742.10785	3373.0789
Msmo1	6268.94155	9847.9786	8228.1825
Msn	7450.74555	10638.14355	6874.8918
Mt2A	2135.68055	1863.03525	3501.243
Mthfd1l	938.70915	968.01965	1466.8197
Mthfd2	2942.98755	2915.81625	3918.3101
Mx2	445.1589	469.2912	615.9114
Mybl1	6806.6356	7623.28535	6306.6871
Myo10	7085.1163	8055.7507	8470.3328
Myo9b	6866.3334	7338.15935	10218.75985
Naa15	2154.30915	2249.5484	2473.50855
Naa30	1377.0123	1989.9447	1509.1486
Nab2	10639.91535	9937.88505	15799.54725
Nampt	3319.31125	5194.44005	4358.8656
Nars	2481.69475	3279.76345	3647.9815
Nbl1	2871.4139	3142.4732	4116.30555
Ncor2	12684.24055	13014.62115	21291.83025
Nes	4388.2863	6373.22105	6637.27755
Nfe2l2	20284.4313	20688.71685	26167.2357
Nfil3	5814.80175	6892.92595	9235.24845
Nfkb1	5241.5543	6410.05885	7305.9767
Nfkbiz	5248.64415	5240.15035	6774.1653
Nfxl1	667.8853	504.5355	782.36145
Ngf	9877.08675	9940.9168	12048.725
Nifk	1535.182	1422.57015	2103.9515
Nmd3	774.2905	797.25885	832.3426
Nmt2	3485.838	3912.48605	4495.9821
Noct	6664.2153	8174.65215	7709.11995
Nod1	7046.5323	7394.6445	8569.18145
Nolc1	7797.3641	8173.64885	10217.82035
Nop56	1237.9667	1474.91345	1790.9318
Nop58	3186.57155	3502.16005	3177.7126
Notch1	6559.2032	7620.59545	11717.698
Npl	5185.97795	12330.42465	7185.7197
Nploc4	2772.34545	3257.94955	3559.04145
Nr4a1	9353.87415	10952.68675	14865.5102
Nr4a3	1917.0993	2194.3616	2794.19475
Nrip1	1009.7732	1113.1268	1252.9456
Nsg1	2204.38325	2431.26105	3806.8536
Nup54	1108.29445	1604.2282	1166.55075
Nxph3	1368.8584	1494.7876	2205.1884
Oas1b	745.53205	621.7787	1200.79145
Oasl2	384.7146	443.36495	624.12885
Otud4	3726.70245	3862.8005	3825.19475
Pard6b	7351.8538	9264.07415	10497.508
Parp14	1477.91475	1488.66015	2216.95175
Parp9	2755.43375	3165.86585	3753.14185
Pcbp4	4398.12635	4710.3786	7156.04575
Pcdh18	3021.97565	3993.69375	2498.94935
Pdcl3	2378.52955	3882.02455	3360.7418
Pdgfa	8333.90685	10549.9612	13308.96375
Pdgfb	8539.837	13594.77455	11828.3652
Pdp1	9796.44225	10777.416	12318.9216
Pdpn	444.41185	548.5729	668.9671
Pelo	13058.48485	13376.68015	13002.2369
Penk	2921.343	3195.79585	4322.3111
Per2	5632.55805	5305.318	8476.1393
Pgam5	1208.14045	1190.36845	1269.34045
Phax	2196.05815	2002.6004	2782.0244
Phf13	3916.50795	4088.28655	5707.3983
Phgdh	2030.33925	2513.77875	2818.09635
Phlda1	15976.2089	21266.1637	16656.80415
Phldb1	8356.97415	10345.27655	12334.48325
Piezo1	4077.34665	5005.9796	7197.74815
Pigm	3417.6802	4020.485	4762.3892
Pkp1	9996.38575	12728.9132	14163.63475
Plat	2695.77505	2897.44915	4567.94805
Plaur	12440.56475	17567.0353	20216.865
Plec	16799.9863	17073.53325	28883.88175
Plk2	1562.89145	1903.38675	2239.16505
Plk3	7383.05155	7804.9389	10497.714
Pmepa1	22415.0536	28117.0044	34238.38805
Polr1b	1312.84775	1601.02475	1635.09785
Ppard	3895.9566	3577.55215	7334.96025
Ppl	3001.0346	3139.01205	5363.4058
Ppm1j	1990.0069	2726.21895	2799.5317
Ppp1r10	5851.3832	6577.8038	7696.5965
Ppp1r15a	7387.5647	7931.7212	9948.7749
Ppp1r15b	5190.2128	5777.79125	8349.46545
Ppp1r18	10085.8844	11024.9562	14000.1249
Ppp2ca	2909.70025	3047.7389	3606.0927
Ppp2r1b	5853.8528	5514.57265	7923.3721
Ppp2r2d	1450.7819	1368.8185	2094.6711
Pprc1	8537.6225	8955.46595	11737.88995
Pqlc1	1907.27815	1954.5661	2627.2946
Pragmin	3763.0035	5693.3896	4641.6923
Prkab2	3061.6974	2875.04805	4098.20165
Procr	775.9103	693.11785	1185.38405
Prrg4	4323.3042	6006.0429	5579.6146
Psmd12	2719.96615	2949.696	4319.1897
Ptgs2	4744.5534	9157.93035	4094.2364
Ptp4a1	2156.51075	2337.077	2491.7849
Ptpn1	10932.8083	12649.94355	16467.8204
Ptpn12	3309.3414	3396.85025	3736.2612
Ptpn23	1436.28695	1394.2191	1724.60185
PVR	9136.2735	12277.02395	15088.4506
Pvrl2	3771.3188	3304.93695	4919.7946
Rab21	2578.7929	3894.14505	4386.44455
Rai14	17180.56295	20420.34835	18273.44565
Ralb	3211.50495	2906.8344	4966.18515
Rap2a	1244.46765	1383.19325	1747.02825
Rasl11b	8498.8589	10614.6236	10478.34645
Rassf1	5951.14075	6440.73095	8869.22055
Rcan1	3267.546	3791.89965	3932.96625
Rcor1	2929.57545	3061.14445	4513.2764
Relt	2182.0625	2406.34155	3570.83015
Rfk	5826.90375	6239.6202	6547.13285
RGD1305537	3844.2919	3989.49105	3607.64175
RGD1307704	5800.9633	5822.861	6610.39775
RGD1562136	3047.5825	3623.74485	3953.8107
Rgs16	1931.28455	3790.71125	3031.13235
Rgs2	7787.5875	10300.3679	8283.10765
Rhbdf2	6123.9966	5653.336	9269.9788
Rhoc	3104.568	3996.89075	4145.54425
Ripk2	7491.3803	8407.0359	7105.676
Ripk3	8002.1545	8327.58715	12252.6969
Rnd1	7923.3489	8819.45615	11438.6605
Rnf19b	8276.10815	7753.1796	14043.6898
Ror2	1437.2945	1741.5672	1965.1187
Rrad	3838.1971	4211.70695	5245.72275
Rrp9	2538.03985	2722.41265	3699.63925
Rrs1	3002.5301	3397.09095	3530.4148
RT1-A2	3107.76045	3278.1229	4179.39615
RT1-CE10	2270.24505	3079.3718	3134.6539
RT1-S3	3061.5265	4198.5521	4899.51385
Rybp	568.8872	947.5671	798.2282
S100a10	8110.52855	9564.28005	8532.4008
S1pr1	2748.6339	3387.2675	3365.8564
S1pr3	4116.94655	4916.68405	5115.454
Samd5	3286.88995	5479.6251	4340.3422
Sat1	2032.88465	2786.3506	1723.4087
Sbno2	12434.0419	13498.3161	21108.85685
Sdc1	3731.43605	4810.9148	5552.68015
Sdc4	17013.8111	19696.6304	23962.78035
Sec23b	1258.88875	1425.71635	1269.66795
Sema7a	10112.6008	12769.2465	12788.54205
Serpine1	18002.48055	30713.748	23569.48975
Sertad1	12053.99695	11544.9775	16406.90975
Sesn2	4806.76905	4709.8081	6946.4936
Sf1	6814.15595	7079.33595	8249.31615
Sf3a2	6480.3925	10118.95685	9315.7033
Sfpq	1147.92125	1204.1381	1458.1871
Sgk1	1884.0073	1641.93735	2266.26935
Siah2	871.9941	1157.1645	1082.8157
Slc16a1	2000.9512	2293.31995	3209.6218
Slc20a1	11761.07685	16682.06185	16677.0207
Slc23a2	1612.2349	1829.2424	2121.3021
Slc2a1	3899.31345	4227.6755	6009.7215
Slc30a4	3998.18	5717.8263	5074.3899
Slc30a5	1934.63605	2718.72105	2344.59285
Slc35e1	4075.59655	4582.738	5105.6227
Slc35e4	3952.7209	4843.65635	5697.26705
Slc7a1	2622.06155	3210.33525	3551.67395
Slc7a11	975.19795	1033.0785	1365.13275
Slc7a5	7044.13515	6894.6039	11503.62785
Slc7a8	5180.5715	6479.1265	7480.76755
Slfn2	7871.45045	11169.42915	13220.00115
Smad7	23648.5458	23815.3309	36389.9174
Smap2	5901.638	6034.1978	7426.57405
Smarca5	2233.30415	2363.09075	2547.5422
Snx18	7389.60105	7604.65465	9298.20325
Soat1	6897.48035	8499.78705	8747.56385
Socs3	15873.2506	16872.176	30359.7622
Socs5	9197.1576	12310.1806	14474.97935
Sox9	3198.4129	5440.9414	5528.5108
Sp110	4151.52715	4857.76455	4577.624
Sp140	3351.39855	3992.28795	3553.4863
Spag9	10751.56735	11257.9387	14102.84135
Sphk1	4984.91635	6354.56225	7912.34535
Spire1	3852.14935	4026.85795	4086.4233
Spry2	4920.9762	11340.56045	6135.32245
Spry4	7031.1233	7426.90785	8398.3795
Spsb1	14086.3035	13841.1603	24019.6973
Srxn1	1479.9806	2284.49535	2482.3329
Ssfa2	4021.70665	3418.4417	3588.3893
Stam	6582.46525	8485.04215	5930.1375
Stard13	7952.37685	10754.12445	9019.89805
Stk38l	9697.45715	12838.5879	11470.3713
Stk40	12958.56455	11104.95255	18750.31065
Szrd1	2958.12285	2906.7224	3828.3348
Tap1	1080.68085	1055.98465	1636.4143
Tapbp	3591.80715	3893.64065	4953.01535
Tbrg4	3461.7398	4243.86125	5077.8646
Tdg	3444.65135	3807.65195	5301.38055
Tes	8987.2872	10918.56825	9474.9244
Thbs1	15442.13245	27360.457	18816.29395
Thoc6	2956.45305	3548.45205	4853.58165
Thoc7	2620.24125	3462.44535	2736.17335
Timp1	870.4727	1067.8116	1028.6796
Tle3	5525.9052	6423.1663	9429.32935
Tlk2	2509.99375	3074.1473	3043.04985
Tmem185b	3461.79185	3528.4462	5014.68725
Tnfaip2	8436.12815	9447.52185	13162.70155
Tnfrsf12a	3214.08245	4527.5377	5381.6742
Tnfrsf1a	5700.45495	5724.833	10349.84215
Tnk2	5141.2698	6040.1302	7460.16195
Tpm3	3980.8849	4580.1866	4584.30185
Trex1	2243.7813	2473.7441	3503.8793
Trib1	8663.25515	12786.22875	14773.2861
Trib2	3627.3135	3726.0745	6335.4521
Trib3	2971.28335	3151.8476	4460.2152
Trim16	1053.43665	766.90885	1666.6671
Trim27	5245.3866	5998.4351	5986.07495
Trim47	5261.1704	5515.12145	9114.5092
Tspan5	7450.2492	10519.3389	9988.7452
Ttpal	4571.3303	4820.3001	5396.9763
Tubb4b	7978.40065	7991.18445	12155.4957
Tubb6	8658.0941	8915.0909	14010.55875
Twist1	2240.02325	2436.59565	2867.0265
Twist2	3648.86985	4737.9347	5427.1121
Txnrd1	3897.27745	4975.05635	6554.54955
U2af1	1163.2539	1572.0577	1601.75235
Uaca	4689.3522	4457.78285	5357.51895
Uap1	3534.5173	5446.80795	4019.9151
Ubtd1	18522.5411	22417.5734	27549.9841
Ugdh	6503.4173	6143.49445	7803.67685
Usp16	2574.9846	2900.2934	2310.8255
Usp18	1814.44005	1873.67985	2353.6985
Usp53	2569.5771	2947.7755	2723.269
Vasn	19434.6002	17983.8161	28072.66795
Vps37b	10076.3473	11118.5701	19112.8743
Vps37c	7315.64565	8252.9066	9832.0204
Wdr43	2712.86075	3203.07575	2993.83055
Xpr1	754.0873	694.6626	923.62825
Yars	4656.39505	4587.7837	5623.84635
Ythdc1	4829.7089	4982.9914	4333.0071
Ywhag	9663.5291	9340.91845	14998.9007
Ywhaz	5939.14125	5968.79185	7086.3778
Zbtb7a	8646.3916	9660.1703	14597.85705
Zc3h12c	1110.8467	979.44795	1303.02415
Zc3hav1	1054.16225	1349.52175	1713.2859
Zdhhc18	9000.9676	9240.7725	10696.57645
Zfand2a	2084.9778	2265.6246	3381.35445
Zfand5	9291.24285	10516.3396	9426.7341
Zfp295	3013.7968	2814.82415	2830.39765
Zfp36	15397.01885	15267.55635	21149.6586
Zfp593	1230.29765	1564.2515	1740.54155
Zfp800	1563.61085	1707.7048	1976.5773
Zfpm1	10912.4971	11757.54565	19358.0496
Zhx2	2138.1043	1859.1652	3279.0079
Zkscan5	2285.5006	2270.9251	2754.85045
Zmiz1	14944.35015	14293.6245	21763.5732
