BRD4_UNSTIM	BRD4_2H	BRD4_24H
Emc2	308.30165	95.1303	383.31915
Emilin1	7925.8287	8131.6928	10577.21545
Ensa	8858.02415	9050.381	13825.3844
Epm2aip1	986.6986	912.9392	1452.5292
Eps15	2856.2194	1640.6923	2951.13075
Eps15l1	2928.1518	3263.68005	4024.45415
Eral1	3341.7082	2551.0176	4466.6666
Ercc3	1723.9156	1594.818	2526.1296
Eri1	1795.25085	1705.3588	2263.64315
Erlec1	1879.7932	2184.8347	2018.7237
Erlin2	5870.9982	5840.64265	8402.56375
Esd	1120.46525	1357.94655	1419.50775
Etfdh	2227.5874	2031.51345	2721.8993
Evc	1736.43405	1746.1138	2301.16545
Exoc2	3133.2827	2330.1261	2306.6727
Eya3	3723.51285	3605.50365	4598.35345
Fads1	14864.4247	13910.1209	21395.7868
Fam102b	3658.0194	3442.8155	5544.781
Fam110b	3393.7827	3123.1661	3711.67715
Fam117a	5182.5483	4539.1403	6870.7173
Fam118a	3336.4521	3194.17875	4250.75715
Fam120b	2702.1789	2342.03825	3077.72355
Fam122a	1715.4827	1959.28585	2101.36505
Fam127b	454.3867	426.8505	549.41835
Fam134a	3152.7567	2756.2254	3972.617
Fam134c	6561.7098	6305.3463	9969.5062
Fam160b2	1084.737	993.1301	1606.48195
Fam174a	1352.6156	1447.17675	1168.376
Fam175a	1811.59925	2586.9785	2400.6368
Fam192a	3715.09875	4260.6317	5145.04445
Fam207a	1647.79205	1725.37825	2413.5991
Fam210a	1653.3435	1447.1207	2102.8794
Fam219b	3139.83065	2963.7842	4160.28775
Fam21c	1848.74575	1664.2007	2290.2788
Fam45a	3844.04355	3590.16025	3655.61035
Fam53a	4010.02945	4154.1136	5241.0896
Fam58b	982.373	937.53535	1389.00035
Fam73b	3262.72445	3445.2881	5213.03775
Fam76b	3099.38515	3297.6749	4543.08735
Fam96a	1676.40125	1674.6175	2238.63275
Fan1	1449.518	1378.47505	1901.0785
Fance	8441.3051	9866.29995	12158.3525
Fas	18701.78075	17284.6686	18108.7238
Fbxl19	7156.9999	6956.50175	10209.78885
Fbxl20	2640.1857	2412.24835	3726.218
Fbxl8	3759.13345	4031.89935	5381.69145
Fbxo21	524.20105	457.64105	826.25135
Fbxo22	943.1363	756.2222	1234.7694
Fbxo25	549.31595	525.7886	766.917
Fbxo3	816.5478	884.1952	976.8734
Fbxo31	11511.15995	10865.9787	16751.50965
Fbxo32	1223.6259	1077.9868	1660.0449
Fbxo8	3122.9041	2592.2058	2570.0259
Fbxw2	4326.24655	5448.49885	5205.5506
Fbxw4	3359.64725	3600.22165	3926.85235
Fbxw5	5720.04425	6738.20145	7111.0562
Fcho2	2046.43855	1584.73115	2046.904
Fdft1	6662.62715	7077.68485	7782.24445
Fech	2390.89475	3002.66345	3298.9815
Fhod1	3945.50455	4138.34755	6171.3947
Fig4	881.1312	890.6142	1444.289
Flad1	7000.19635	7130.42095	10064.9311
Flcn	2724.9256	2442.3017	3606.51805
Fn3krp	989.1951	787.1995	1589.169
Fopnl	5197.29415	4422.55975	5607.39145
Foxc1	6149.11155	5513.8876	7774.05955
Frg1	1706.60585	1577.24785	1996.3869
