RNA_RASMC_0H	RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H
Abcb6	9.9192985616258	6.28588553204941	4.14584647895503	10.6020660251828	5.20280658549459
Abcb7	6.07632702793338	4.36148202285266	1.76921248600119	7.7768441442651	5.81213592822977
Abcb8	13.6689139767494	10.0052937791369	5.33290078598861	17.5748550367785	15.2941485233861
Abcc1	8.73084447354702	6.29615463563668	5.93208473948595	12.3684837645126	9.32418095450248
Abcc10	2.42959404438024	0.599735436303095	1.35798793582856	3.83559034168426	2.16597151930234
Abcc3	8.01798513986848	2.68894082706694	2.40801001098127	6.01033407024897	3.53401584124084
Abcc4	2.46608637276823	2.7348858376959	1.85331066524551	8.26092538686811	8.76243308802073
Abcc5	10.174638388091	7.510309226901	4.68221155637998	12.0475429463006	9.10730330162814
Abcc9	1.58215133564121	1.28528192868189	0.872482433886356	6.42734579720649	0.155491541399211
Abcd1	5.39479288575079	3.67000822226796	1.8427225954902	10.4995173228316	2.98382558522224
Abcd3	18.6314635753269	9.99981826284118	23.6325280121424	25.5754642631474	31.6230315999105
Abcd4	18.2508249017311	9.427868906353	10.7123723528237	25.0808719992717	9.56216427632891
Abce1	61.3466389394741	81.8619167320663	43.795496705606	70.5395467654973	51.2366261689664
Abcf1	46.4788892715765	57.9795602061281	54.9138135391066	52.9484494052177	69.6480786598664
Abcf2	39.9862653450902	49.2791091414332	43.8480209286348	55.1341609476846	63.7355899703052
Abcf3	20.0644687832035	24.2997744089352	20.7578100655366	40.3415178500934	39.4633349513714
Abcg1	0.921603133861447	1.35433907238608	0.498949342688453	3.74213035015422	0.640912198375657
Abcg3	2.29411526416254	2.48354261561127	1.27686821569057	2.79956025453877	2.17580843218752
Abcg3l1	4.5694226192929	13.7264878513662	8.08080252250334	8.34658478383276	6.36506475102425
Abcg3l2	3.25068042313546	2.56199869095817	1.45509397742751	3.17993397457384	3.05555395901473
Abcg3l3	11.0437904728649	7.85070061610087	4.86379203460382	18.5379558208732	10.18590328953
Abcg3l4	0.120216130861401	1.02651381818196	0.620046239929793	0.720150993372734	0.960885299847154
Abhd1	6.60587808178946	5.55089597041058	8.27498164018947	17.7697671517109	7.606080442043
Abhd11	9.64533876129049	6.70115504010208	6.98632007296581	13.6433170219721	10.4794580706905
Abhd12	24.0676424532518	19.6990553223059	34.2507095579598	41.5132322010504	45.8621411628085
Abhd13	4.69070023413581	5.98952844029129	6.23690448731186	6.20298833886415	5.53484611430882
Abhd14a	3.21368699106151	3.65666693314493	3.56115670357868	4.08212360472937	3.44739284217898
Abhd14b	27.3987743966573	18.3762658510236	21.9495807245687	49.2814355757084	23.4965514088713
Abhd16a	30.5444069640953	44.9728095445812	26.2428556517793	46.4409344219573	30.0101769655383
Abhd17a	35.1093123331507	54.3343774124379	49.3233204162711	75.1682150478389	269.463685015527
Abhd17b	11.9663454299113	10.9985359283369	23.7792004133683	17.6215292160257	18.7045239657127
Abhd17c	13.4842758135412	13.3600393775661	13.2388091740853	13.1742255280391	11.6612486967172
Abhd2	13.597391943707	44.2858469630847	54.4305232578194	24.1821198160089	27.4705329907118
Abhd3	0.921771424403841	0.589064434241804	2.19610905578344	3.30462331779048	2.78236794155791
