RASMC_RNA_0H	RASMC_RNA_PDGF_JQ1_2H	LOG2_FOLD_CHANGE	P_VALUE
Ada	5.12345754891047	4.55753550741715	-0.168863840776643	0.771139592409601
Adal	4.02624365457302	2.30001254649287	-0.807792750853337	0.295285540262042
Adam10	13.6904543865634	15.511660495862	0.180182802117886	0.32441437389813
Adam15	15.9381473462886	19.8591656790153	0.317321073912049	0.0646876590160979
Adam17	20.3858220822113	18.8445662430967	-0.11341754838042	0.499784253360908
Adam19	14.7264666052675	3.15239252114267	-2.22389223014598	0.100582955593171
Adam1a	3.14537070232149	2.16762435394647	-0.537115296621662	0.200152011308544
Adam23	0.473725894935228	0.567253742014766	0.259941685917847	0.793112535160405
Adam4	0.389754574142231	0.23029292731834	-0.759095850197671	0.292640405461825
Adam4l1	0.773846090452814	0.106405019253375	-2.86248045247857	0.22006843230131
Adam9	40.3130285862729	58.3279633310887	0.532941527440792	0.0545106165896199
Adamts1	104.553642183938	142.388496288648	0.445589274331223	0.0313330689431637
Adamts10	51.0897503543025	18.2228027743873	-1.48728901494893	0.00383923469245892
Adamts12	127.919561035191	86.7481870491026	-0.560331381005687	0.127338966228928
Adamts14	1.87064855014411	1.06215553303909	-0.816543498724492	0.337592702130807
Adamts15	5.39207230006029	0.37155813952685	-3.85917996203031	0.00294201786927781
Adamts2	14.9090813393012	15.591577453071	0.0645755327364127	0.680206329888916
Adamts3	1.44105674713539	1.39084202892937	-0.051168579602859	0.933057579837227
Adamts4	0.128078226316774	0.102983211010196	-0.314616074941904	0.565562898765737
Adamts5	9.12380744587184	2.18631725581162	-2.0611332342721	0.00273744912088547
Adamts7	0.591550879388234	0.582952532585556	-0.0211238448230106	0.963984183735741
Adamts9	15.6178654314473	11.45732671509	-0.446926820888914	0.103151106289095
Adamtsl3	1.96031355983041	0.830789776836823	-1.23852906898993	0.167564268210036
Adamtsl4	26.3669359326383	13.8915561811748	-0.92452170306213	0.237551070367313
Adamtsl5	19.8563399814082	8.76966535559422	-1.17900602611952	0.143638907721434
Adar	11.3328793901738	10.3965121599587	-0.124414847369451	0.7077085061594
Adarb1	87.11918784827	40.0157571969011	-1.12242229603703	0.045516870703313
Adat1	0.861415315261858	1.47911629320749	0.779954607677966	0.256838671812521
Adat2	5.94370720916034	0.929544110374083	-2.67676781633828	0.00933062669370886
Adat3	6.27830766475133	10.3855044380487	0.726123657359356	0.137522475768383
Adck1	2.63272292476282	2.58049918006415	-0.0289055238343224	0.962418844498625
Adck2	6.25001616884067	3.51468560378776	-0.830464279158297	0.0148359805093883
Adck3	3.47376067978732	2.06229846521981	-0.752245223669613	0.385555066121103
Adck4	12.303061866602	12.9173346774559	0.0702910153583688	0.537816346561644
Adck5	8.33665214536152	11.2554814840246	0.433087729517943	0.266070812137241
Adcy3	9.62542994556274	3.91080813240167	-1.29938422601328	0.00663414816958966
Adcy4	10.0820298427752	3.59708985166251	-1.48688402774137	0.0373953633557651
Adcy5	1.9465252756873	0.539306779290758	-1.85172300394495	0.00829880227171249
Adcy6	31.4181462193659	18.2683159908225	-0.782254409446619	0.0130935657429627
Adcy7	1.18489022471067	0.23921267315358	-2.30838767680811	0.136931226644677
Add1	121.843816401892	100.032863725768	-0.284558990404875	0.189544991029172
Add2	0.10887232205044	0.119001903482165	0.12834741712669	0.738079663435644
Add3	2.37059213677057	5.54857595402181	1.22687008350481	0.0901579005280653
