RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
Abtb2	6.53777271917703	12.8530314968282	0.975237542587104	0.0450054929999898
Ac1576	1.10672411466629	0.946296156449241	-0.225931959742951	0.810535933087189
Acaa1a	40.9000697718105	32.4067608713594	-0.335808477028535	0.29047914145927
Acaa1b	1.68201779779604	0.945407823152266	-0.83118426313242	0.162927386511474
Acaa2	55.0689870297806	29.3970959829893	-0.905566426731294	0.00596286722638971
Acaca	23.2887121976147	15.1541250110732	-0.619920310354854	0.015604249432439
Acad10	6.17625197662081	3.72986329948806	-0.727608856105826	0.0372334124376307
Acad11	34.2935656398234	9.04584011516317	-1.92261151313873	0.00108526340789164
Acad9	15.0545150364892	10.7363711623672	-0.487689781796929	0.0276967104502406
Acadl	110.423473589519	89.1382734460836	-0.308929967580135	0.0991810836455854
Acadm	53.8332887410254	49.9519238262883	-0.107958321636739	0.39767104503193
Acads	30.5139706531659	15.3761950303142	-0.988771383540897	0.0102853607758091
Acadsb	23.8403389657651	5.40560522394059	-2.14087668885899	9.87378869178459e-05
Acadvl	45.914912316471	66.5565347768389	0.53561753196561	0.0182623799728033
Acan	8.62778670115457	0.487392430969362	-4.14583475837216	0.00601795968029906
Acap2	38.8958112262855	31.609754626343	-0.299244960407845	0.181629425278092
Acap3	11.4199537325962	10.8071209975897	-0.079574563452204	0.796626351805814
Acat1	43.5991868401762	31.6937107126381	-0.460104646897199	0.0508614096065742
Acat2	50.4877718526212	21.5134353628266	-1.23069608993838	0.0032877522534697
Acbd3	38.9824328378939	22.2397427312893	-0.809684030837295	0.00221792144821897
Acbd4	15.409116313162	11.3649066934563	-0.43919828850271	0.0860194830421473
Acbd5	10.5716199217977	4.78891290787207	-1.14242635846849	0.130690311433832
Acbd6	33.108710598274	15.0172532594888	-1.14058986690844	0.0499612498282346
Acbd7	0.397616253525442	0.914075563840802	1.20093670166243	0.25950506273125
Accs	6.58062675796749	2.49295319384971	-1.40036920102985	0.0576311902780408
Acd	54.8762783313924	63.9913206713739	0.221693599146403	0.506246660273174
Ace	1.40297478717949	0.133083963579637	-3.39808043833737	0.152479609544725
Acer2	0.425335751437864	0.405910781227569	-0.0674394658857856	0.910583857583686
Ache	4.76854004023331	0.449447997470868	-3.40732152498417	0.030162489399288
Acin1	58.3660271692829	44.0576691194397	-0.405735699925647	0.0442564791440075
Ackr3	18.6218069443039	1.52454416066773	-3.61054322398818	0.0278123612640759
Acly	143.659865727973	228.31462522953	0.668366205525145	0.0267082800643488
Aco1	56.0767882609773	39.9453992246328	-0.489374374866317	0.016898253830402
Aco2	137.179066874153	89.6828701567697	-0.613155992105854	0.0213113412368619
Acot12	0.103023169791217	0.0934065207519299	-0.141373660574458	0.283324585327646
Acot13	9.99795658324846	8.3592605465006	-0.2582579337402	0.498046245502075
Acot2	2.44331330618741	0.649661810724455	-1.91107806593357	0.0007181882247377
Acot3	5.51943677839069	0.923650076342467	-2.57910276005648	0.00188837678470924
Acot7	107.811428008432	96.4999914057276	-0.159909392823894	0.330615990487924
Acot8	10.018410007968	7.0942134581088	-0.497938915509767	0.0492343621542007
Acot9	78.8129941319363	53.9950759384831	-0.545605663479874	0.0169159431482698
Acox1	34.6285096212943	23.8107608504845	-0.540346575315516	0.0224120442355988
Acox3	8.89412448559011	6.06274264230744	-0.552882014647666	0.0157153352060608
Acp1	30.3341229541826	15.3572575208373	-0.982020995106641	0.387511354077621
Acp2	43.7988264771724	5.93860487185447	-2.88269626505673	0.0132383045972347
Acp5	19.092413228905	5.21900809522122	-1.87115192213951	0.00308426916183014
Acp6	27.5511349315889	8.1453394375969	-1.75806502389195	0.000387281331911282
Acpp	1.58535400408305	0.117792484815271	-3.7504856221887	0.0583453220198363
Acpt	0.182949293844947	0.104427265220465	-0.808945408552264	0.370087055068691
Acrbp	1.29714812868252	1.15052734966569	-0.173047959629507	0.834697363224919
Acsf2	15.9929203164017	4.66863280087124	-1.77636137307148	0.00396230271954848
Acsl1	10.9547968375015	9.44216592055292	-0.214372989289617	0.024628042050828
Acsl3	42.6879247243125	56.2614600572136	0.39831896533368	0.00732651911873794
Acsl4	48.64291163608	108.989005032914	1.16388110880932	0.00141410240091956
Acsl5	96.7938716157285	31.6387790805678	-1.6132217796959	0.000214463152386456
Acsm3	0.785696873215626	0.448150597076521	-0.809989200255729	0.206213427145713
Acss2	19.2861297363136	17.2621262907099	-0.159953476349202	0.3719913112447
Acss3	0.394327718226846	0.264480076532086	-0.576236077239846	0.436419043091597
Acta1	3.79282482060015	1.85024183060687	-1.03555889291308	0.0415395786574934
Acta2	945.178031479337	87.9340416264	-3.42609241295867	0.00224638811163591
Actb	3821.41512624568	2914.35155982952	-0.390932067410605	0.0434535471861023
Actbl2	1.61476554599363	0.910434353292771	-0.826697808899811	0.292931270093562
Actg1	2177.37254022786	1983.79112253259	-0.134328138945614	0.336128227758708
Actg2	0.719540905358631	0.23830293813598	-1.59427996619893	0.184366182184952
Actl6a	38.5591997695815	29.0766237548465	-0.407215351400346	0.0523268510233056
Actl7a	1.30040163628669	0.27742739161213	-2.2287751331173	0.404875531718169
Actl7b	0.480172226418513	0.168887736950017	-1.50748738233503	0.381608394138668
Actn1	412.66451017799	255.120196093252	-0.693792257946461	0.0036584916894144
Actn4	393.864789154654	292.121802223796	-0.431130411909685	0.0340105160591441
Actr10	114.25249004885	100.588458098703	-0.183760833763799	0.172131235907492
Actr1a	98.1764676084609	93.0048454057977	-0.0780713791218882	0.617592428502152
Actr1b	53.7530059197934	39.503229853958	-0.444374818441274	0.0326843763624548
Actr2	271.252406429039	216.306987665442	-0.326555665116807	0.172088816749278
Actr3	261.495368081619	150.365057788128	-0.798316043113945	0.00141089229328649
Actr3b	16.3480482569725	9.78172355680138	-0.740957809017307	0.0102189458549786
Actr5	3.73903440191642	3.55036014087624	-0.0747003692179022	0.815114986438475
