RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_24H	LOG2_FOLD_CHANGE	P_VALUE
Abtb1	4.66647807927865	15.4175191527016	1.72416461485153	0.0260226984285019
Abtb2	15.412514839858	6.53777271917703	-1.23723115485426	0.00533224068319971
Ac1576	0.762873138434736	1.10672411466629	0.536780560476147	0.626882572472497
Acaa1a	20.4066698179474	40.9000697718105	1.00306253734547	0.057159401621708
Acaa1b	1.17520293039977	1.68201779779604	0.51728307273396	0.453508055045001
Acaa2	24.6342104036663	55.0689870297806	1.160576841059	0.00248177474379513
Acaca	11.2051586704181	23.2887121976147	1.05546778639983	0.0137233270720233
Acad10	3.67176241780342	6.17625197662081	0.750258900515622	0.0782453245147542
Acad11	17.2854392307776	34.2935656398234	0.988380651277638	0.00430960179489259
Acad9	10.5478154868906	15.0545150364892	0.513251994637937	0.0406929476743274
Acadl	58.8504946899084	110.423473589519	0.907920442250477	0.00632611015774802
Acadm	30.3260370193969	53.8332887410254	0.8279415839184	0.00105036951083514
Acads	12.3938859742439	30.5139706531659	1.29984132344365	0.013399569507716
Acadsb	15.2680657137109	23.8403389657651	0.642887447380727	0.0437795201591708
Acadvl	21.5612250604445	45.914912316471	1.09052363936425	0.00158231284394851
Acan	9.26625585912424	8.62778670115457	-0.102996008322055	0.693320199041881
Acap2	18.2367835584444	38.8958112262855	1.09276349441029	0.0025859234138533
Acap3	13.182720678208	11.4199537325962	-0.207091341874492	0.512863663710373
Acat1	40.9242028079993	43.5991868401762	0.0913469141547133	0.584063422773387
Acat2	34.0279602052623	50.4877718526212	0.569213337154098	0.026496305083001
Acbd3	40.4262581478579	38.9824328378939	-0.0524685440786918	0.589563830942434
Acbd4	6.94850294991587	15.409116313162	1.14901003930336	0.010185080919573
Acbd5	5.79160930596895	10.5716199217977	0.868160273668248	0.252109360171287
Acbd6	16.2947488600087	33.108710598274	1.02280370985102	0.0411074065187439
Acbd7	0.187892637120573	0.397616253525442	1.081468198245	0.351710911310324
Accs	2.20208190905709	6.58062675796749	1.57935686430283	0.0412227077583759
Acd	29.920731794417	54.8762783313924	0.875037181555282	0.0018151814172916
Ace	0.89488203588332	1.40297478717949	0.648719659831947	0.524205005159185
Acer2	0.622562305104163	0.425335751437864	-0.549616101913774	0.695091369409634
Ache	2.11366219473382	4.76854004023331	1.17380280741964	0.0701442458232564
Acin1	41.3596768941768	58.3660271692829	0.496903955665967	0.0187254368150922
Ackr3	25.9457266228526	18.6218069443039	-0.478503869986466	0.131151684052467
Acly	91.0215678834654	143.659865727973	0.658376729575985	0.0199795209201289
Aco1	50.7533375527805	56.0767882609773	0.143901025453373	0.330676186812309
Aco2	99.9244024216358	137.179066874153	0.457151402218824	0.0403782387291656
Acot12	0.161227681584357	0.103023169791217	-0.646130630718176	0.362804345265291
Acot13	4.42427624683262	9.99795658324846	1.17619179340096	0.117071573698767
Acot2	1.9807991509446	2.44331330618741	0.302756271060456	0.690060027510849
Acot3	2.45923972787469	5.51943677839069	1.16630868073665	0.0046911632903632
Acot7	61.7781418001412	107.811428008432	0.803341729343678	0.00531924019273498
Acot8	6.37405509934751	10.018410007968	0.652370165470401	0.031625381699032
Acot9	64.7030955346605	78.8129941319363	0.284598775210275	0.268881638510789
Acox1	22.7158342634771	34.6285096212943	0.608262005727718	0.0700304385584356
Acox3	5.22076872878619	8.89412448559011	0.768590346191811	0.00471952638847225
Acp1	32.974720137976	30.3341229541826	-0.120418815577413	0.915264188030795
Acp2	18.0255541822076	43.7988264771724	1.2808486007986	0.0205764256133477
Acp5	3.94355976930159	19.092413228905	2.27542905328037	0.00131486868497963
Acp6	17.1913829893153	27.5511349315889	0.680426140403836	0.0450538649468795
Acpp	0.131270064659932	1.58535400408305	3.594195164147	0.0595892792355859
Acpt	4.27985951060167	0.182949293844947	-4.54804768769639	0.357872404222838
Acrbp	0.647917612472005	1.29714812868252	1.00146095799028	0.36883751814621
Acsf2	7.59007232448112	15.9929203164017	1.0752478618037	0.00399383405435232
