NM_001106187	Sf3b3
NM_001108389	Rnf219
NM_001169115	Trappc11
NM_031667	Syt11
NM_001108094	Krr1
NM_001013153	Ubtd1
NM_001127373	Adnp2
NM_053306	Pak2
NM_001107853	Luc7l2
NM_001024747	Phf10
NM_001012094	Zbtb43
NM_001304368	Cnbd2
NM_001107280	Pcdh20
NM_173337	Camk2n1
NM_001005551	Car5b
NM_022208	Gtf2a1
NM_001271345	E2f4
NM_001030042	Rad9b
NM_019196	Mpdz
NM_022619	Slc7a2
NM_001173334	Slc25a32
NM_001012348	Pced1a
NM_017274	Gpam
NM_001107718	Cdc14a
NM_001006966	Eci2
NM_001107118	Rnf6
NM_001106596	Mrpl35
NM_001013990	Srd5a3
NM_001008358	Tmem106c
NM_001001720	Vmac
NM_001100702	Wdr47
NM_001008348	Frmd8
NM_001106335	Incenp
NM_001014239	Fbxo25
NM_182669	Micalcl
NM_001108215	Mfsd9
NM_001004269	Jam3
NM_001011965	Stom
NM_001114939	RGD1563348
NM_001013877	Clhc1
NM_001108369	Chchd1
NM_001025686	Sec22b
NM_001130559	Nipal2
NM_001139507	Hcfc1
NM_001108397	Sugp2
NM_020083	Ralgapa1
NM_001106345	Lage3
NM_001012174	Fkbp5
NM_001108197	Taf8
NR_037356	Mir3568
NM_053373	Pglyrp1
NM_001270972	Zfr
NM_001014173	Rrnad1
NM_053350	Agps
NM_130408	Cyp26a1
NM_001034994	Rwdd4
NM_031675	Actn4
NM_013067	Rpn1
NM_001025656	Ccdc163
NM_153727	Gpr3
NM_001109131	Phlpp2
NM_001106740	Ppp2r5e
NM_001105878	Polq
NM_001107153	Usp30
NM_080400	Chek1
NM_001014247	Lzts2
NM_001109473	Gtf3c4
NM_001013933	Ube2a
NM_019365	Rassf5
NM_031709	Rps12
NM_053582	Tinagl1
NM_019387	Hgs
NM_001130999	Ap4s1
NM_053899	Cgrrf1
NM_031643	Map2k1
NM_001044259	Fbxo31
NM_001106364	Actr1a
NM_133585	Opa1
NM_001108081	Actr6
NM_139336	Uxs1
NM_001107979	Fhl3
NM_001304613	Llgl1
NM_001135846	Rrn3
NM_001107186	Abl2
NM_053957	Apbb3
NM_001012051	Zfp367
NM_053690	Dnajc14
NM_001191578	Phldb1
NM_001034137	Sp110
NM_053606	Mmp23
NM_024161	Dnajc5
NM_001106353	Erlin1
NM_001108583	Bbs5
NM_001106391	Rpf2
NM_001127293	Zc3hc1
NM_001012074	Herc4
NM_001024332	Arl8b
NM_001014107	Mospd1
NM_001106330	Trmt112
NR_102352	LOC100910973
NM_001015037	Ccbl2
NM_001107933	Tbc1d2
NM_001047886	Ilf2
NM_001107511	Ap2a1
NM_153628	Sec11c
NM_001106102	Higd2a
NM_001003673	Pmpca
NM_001014167	Rnls
NM_001271313	Arhgef40
NM_138845	Tnrc6b
NM_001007735	Sertad1
NM_012751	Slc2a4
NM_001106455	Igsf3
NM_031037	Gnb2
NM_001163723	Smim1
NM_001107841	Rabgap1
NM_001107938	Polr1e
NM_001034912	Fam134b
NM_001014137	LOC361016
NM_001025715	Limd2
NM_001134628	S100pbp
NM_138871	Tdrd7
NM_053482	Spa17
NM_001106836	Rnf111
NM_133620	Zhx1
NM_001108179	Stag1
NM_001003708	Trappc4
NM_001107399	Ammecr1l
NM_053812	Bak1
NM_053556	Bud31
NM_001103360	Pnrc2
NM_001107195	Olfml2b
NM_001025411	Dnaja4
NM_053628	Megf8
NM_001008300	Nedd4l
NM_001012033	Paqr3
NM_001107719	Sass6
NM_022186	Nrbf2
NM_001164305	Plec
NM_001024979	Gpatch4
NM_001107362	Wdr37
NM_001108437	Ccdc102a
NM_022204	Exoc5
NM_031607	Hspb7
NM_001195482	LOC690871
NM_001106699	B3galt6
NM_001007607	Pigq
NM_022278	Glrx
NM_022250	Qtrt1
NM_001107246	Mfsd7
NM_001014045	Arl14ep
NM_001012747	Nol12
NM_012576	Nr3c1
NM_001013210	Fkbp14
NM_001191967	Samd10
NM_001108902	Rab32
NM_145775	Nr1d1
NM_001107819	Tmem203
NM_153296	Aurka
NM_001007680	Abhd6
NM_133561	Mpc1
NM_133315	Slc40a1
NM_031589	Slc37a4
NM_001012470	Irf2bpl
NM_001013164	Ccbl1
NM_001017446	Ino80c
NM_031151	Mdh2
NM_001106584	Rpa3
NM_017150	Rpl29
NM_023098	Nup62
NM_001173558	Dcaf13
NM_001173376	Dusp3
NM_001039020	Zfp207
NM_001014037	RGD1306227
NM_001108501	Ccp110
NM_001107527	Man2a2
NM_001079711	Rad51ap1
NM_053747	Ubqln1
NM_001310058	Ggact
NM_001142304	LOC689770
NM_001191798	Vprbp
NM_001100667	Mtx1
NM_001044226	Rita1
NM_001134698	Aldh4a1
NM_001135803	Dus4l
NM_139255	Plbd2
NM_001025018	Dram2
NM_212531	Abhd16a
NM_001030021	Rplp2
NM_001191985	Itpk1
NM_001106710	Emilin1
NM_001106713	Klhl29
NM_001107844	Paxip1
NM_001109094	Etaa1
NM_013155	Vldlr
NM_001169120	Zfp91
NM_001271175	Setdb1
NM_001127532	Txndc11
NM_001108445	Anapc10
NM_001109562	Gpr137
NM_001108344	Ube2t
NM_001108703	Rbks
NM_022921	RT1-M3-1
NM_133406	Agpat4
NM_001106012	Evc2
NM_001004274	Igfbp4
NM_053539	Idi1
NM_001038992	Svbp
NM_001007754	Rassf1
NM_001106499	Vps18
NM_001195488	Coa5
NM_022696	Hand2
NM_001107744	Nup160
NM_001034135	Rbx1
NM_031126	Stxbp2
NM_001191928	Mn1
NM_001106997	Maml1
NM_053887	Map3k1
NM_001107528	Hddc3
NM_001007709	Mief1
NM_001007005	Arhgdia
NM_001191735	Elf4
NM_001079888	Mmp28
NR_102353	Patz1
NM_031973	Dpp7
NM_001107031	Slfn2
NM_001108017	Cmpk2
