GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
Pagr1	1593.6	7439.7812	16_RASMC_H3K27AC_PDGF_2H_NEW_2197_lociStitched_1,16_RASMC_H3K27AC_PDGF_2H_NEW_2197_lociStitched_1,16_RASMC_H3K27AC_PDGF_2H_NEW_2197_lociStitched_3,16_RASMC_H3K27AC_PDGF_2H_NEW_2197_lociStitched_4,16_RASMC_H3K27AC_PDGF_2H_NEW_2197_lociStitched_5,2_RASMC_H3K27AC_PDGF_24H_NEW_2316_lociStitched_4,6_RASMC_H3K27AC_PDGF_24H_REP2_1419_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_1419_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_2313_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_2313_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_2318_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_2318_lociStitched_3
Paics	900.5388	2164.8872	4_RASMC_H3K27AC_PDGF_24H_NEW_8980_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_8980_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_9238_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_9238_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_5800_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_5800_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_5800_lociStitched_3
Paip1	607.4	1035.6443	6_RASMC_H3K27AC_PDGF_2H_REP2_13531_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_13531_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_13531_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_13531_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_9294_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_9294_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_NEW_15869_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_15869_lociStitched_3
Paip2	514.464	2400.3653	1_RASMC_H3K27AC_PDGF_2H_REP2_11750_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_11750_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_13180_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_13180_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_REP1_5902_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_5902_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_13179_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_13179_lociStitched_3
Pak1	836.8818	11768.4294	4_RASMC_H3K27AC_UNSTIM_NEW_1924_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_1924_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_796_lociStitched,7_RASMC_H3K27AC_UNSTIM_NEW_1925_lociStitched,6_RASMC_H3K27AC_PDGF_2H_REP2_1552_lociStitched,11_RASMC_H3K27AC_PDGF_2H_REP2_1551_lociStitched_1,11_RASMC_H3K27AC_PDGF_2H_REP2_1551_lociStitched_2,3_RASMC_H3K27AC_PDGF_2H_NEW_1745_lociStitched
Pak1ip1	754.2	2795.651	4_RASMC_H3K27AC_PDGF_2H_REP2_10958_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_10958_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_10958_lociStitched_5,6_RASMC_H3K27AC_PDGF_24H_REP2_7506_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_7506_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_7506_lociStitched_3,10_RASMC_H3K27AC_PDGF_24H_NEW_12083_lociStitched_1,10_RASMC_H3K27AC_PDGF_24H_NEW_12083_lociStitched_3
Pak2	604.2	836.9288	6_RASMC_H3K27AC_UNSTIM_REP1_2908_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_2908_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_2908_lociStitched_2,6_RASMC_H3K27AC_UNSTIM_REP1_2908_lociStitched_3,3_RASMC_H3K27AC_PDGF_24H_NEW_6363_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_6142_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_6142_lociStitched_5
Pak3	140.53	0.0	1_RASMC_H3K27AC_PDGF_2H_NEW_30785_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_NEW_30785_lociStitched_1
Pak4	632.8	5010.9078	6_RASMC_H3K27AC_PDGF_24H_REP2_545_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_545_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_545_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_545_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_951_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_544_lociStitched_3,2_RASMC_H3K27AC_PDGF_24H_NEW_952_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_953_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_954_lociStitched
Palb2	639.5203	599.5667	4_RASMC_H3K27AC_PDGF_24H_NEW_2250_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_2250_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_2250_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_2250_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_2250_lociStitched_4,4_RASMC_H3K27AC_PDGF_24H_NEW_2250_lociStitched_5,5_RASMC_H3K27AC_PDGF_2H_NEW_2137_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_2137_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_2251_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_2251_lociStitched_3
Palm	564.4	5763.6952	9_RASMC_H3K27AC_PDGF_2H_REP2_22863_lociStitched_1,9_RASMC_H3K27AC_PDGF_2H_REP2_22863_lociStitched_1,9_RASMC_H3K27AC_PDGF_2H_REP2_22863_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_15678_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_15678_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_15678_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_26154_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_26154_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_27382_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_26155_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_26155_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_15675_lociStitched_2,3_RASMC_H3K27AC_UNSTIM_NEW_27384_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_27384_lociStitched_3
Palm2	586.0	2619.0293	5_RASMC_H3K27AC_PDGF_2H_NEW_22245_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_22245_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_22245_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_22245_lociStitched_3,1_RASMC_H3K27AC_PDGF_2H_NEW_22246_lociStitched,2_RASMC_H3K27AC_PDGF_2H_NEW_22247_lociStitched,7_RASMC_H3K27AC_PDGF_24H_NEW_22739_lociStitched
Palmd	270.8	5677.6314	3_RASMC_H3K27AC_PDGF_24H_NEW_16701_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_16701_lociStitched,5_RASMC_H3K27AC_UNSTIM_REP1_7632_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_16703_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_17505_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_17505_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_REP1_7629_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_17502_lociStitched
Pam	831.4	1427.6596	6_RASMC_H3K27AC_PDGF_24H_NEW_30801_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_30801_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_30801_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_30801_lociStitched_3
Pam16	671.6	14080.9054	6_RASMC_H3K27AC_PDGF_24H_REP2_2431_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_2431_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_2431_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_2431_lociStitched_3,10_RASMC_H3K27AC_PDGF_24H_REP2_2432_lociStitched_1,10_RASMC_H3K27AC_PDGF_24H_REP2_2432_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_3383_lociStitched,16_RASMC_H3K27AC_PDGF_24H_NEW_3668_lociStitched_1,16_RASMC_H3K27AC_PDGF_24H_NEW_3668_lociStitched_3
Pan2	736.4	1657.7576	6_RASMC_H3K27AC_PDGF_24H_REP2_15542_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_15542_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_15542_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_25992_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_25992_lociStitched_3,1_RASMC_H3K27AC_PDGF_2H_REP2_22693_lociStitched,6_RASMC_H3K27AC_UNSTIM_NEW_27223_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_NEW_27223_lociStitched_3,6_RASMC_H3K27AC_UNSTIM_NEW_27222_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_NEW_27222_lociStitched_2,6_RASMC_H3K27AC_UNSTIM_NEW_27222_lociStitched_3
Pank1	1011.6	1453.8826	5_RASMC_H3K27AC_PDGF_2H_NEW_3009_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_3009_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_3009_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_3009_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_2859_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_2859_lociStitched_3
Pank2	866.0	1403.9558	6_RASMC_H3K27AC_PDGF_2H_NEW_19026_lociStitched,6_RASMC_H3K27AC_PDGF_2H_NEW_19026_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_20438_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_20438_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_19482_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_19482_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_19482_lociStitched_3
Pank3	537.2	2396.4331	2_RASMC_H3K27AC_PDGF_24H_NEW_3880_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_3880_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_3990_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_3990_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_3990_lociStitched_3,3_RASMC_H3K27AC_PDGF_24H_NEW_3881_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_3879_lociStitched
Pank4	581.7433	218.8043	4_RASMC_H3K27AC_PDGF_24H_NEW_24259_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_24259_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_24259_lociStitched_2
Panx1	400.4	1143.9826	4_RASMC_H3K27AC_PDGF_2H_NEW_27374_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_27374_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_27374_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_NEW_27374_lociStitched_3,3_RASMC_H3K27AC_UNSTIM_NEW_29266_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_27373_lociStitched
Paox	380.46	2313.8653	4_RASMC_H3K27AC_UNSTIM_NEW_2623_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_2623_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_2520_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_2520_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_2393_lociStitched
Papd4	829.0	457.2455	1_RASMC_H3K27AC_UNSTIM_NEW_15502_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_15502_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_14472_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_14472_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_14472_lociStitched_3
Papd5	296.2	4510.7381	5_RASMC_H3K27AC_UNSTIM_NEW_14584_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_14584_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_13631_lociStitched,6_RASMC_H3K27AC_PDGF_2H_NEW_13633_lociStitched,4_RASMC_H3K27AC_PDGF_24H_REP2_8561_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_13987_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_13987_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_13987_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_12491_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_14579_lociStitched
Papd7	459.0	3201.5798	5_RASMC_H3K27AC_PDGF_24H_REP2_204_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_204_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_204_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_204_lociStitched_3,1_RASMC_H3K27AC_PDGF_24H_NEW_366_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_200_lociStitched
Papola	881.4	988.2163	1_RASMC_H3K27AC_UNSTIM_NEW_26974_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_26974_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_22469_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_25171_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_25171_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_25171_lociStitched_3
Papolg	313.443	225.2229	1_RASMC_H3K27AC_PDGF_24H_REP2_6236_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_6236_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_9439_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_9439_lociStitched_2
Pappa	303.6	3565.694	4_RASMC_H3K27AC_UNSTIM_REP1_10401_lociStitched,4_RASMC_H3K27AC_UNSTIM_REP1_10401_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_22863_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_22864_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_23973_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_23973_lociStitched_2,3_RASMC_H3K27AC_UNSTIM_NEW_23973_lociStitched_3
Papss1	562.6	796.3454	4_RASMC_H3K27AC_PDGF_2H_REP2_14795_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_14795_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_14795_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_14795_lociStitched_3,2_RASMC_H3K27AC_PDGF_24H_REP2_10190_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_16475_lociStitched
Papss2	572.8	520.8822	4_RASMC_H3K27AC_UNSTIM_NEW_3217_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_3217_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_3217_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_3217_lociStitched_3,1_RASMC_H3K27AC_PDGF_24H_REP2_2067_lociStitched
Paqr3	216.1755	0.0	1_RASMC_H3K27AC_PDGF_2H_REP2_8274_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_8274_lociStitched_1
Paqr4	498.9664	1810.8075	4_RASMC_H3K27AC_UNSTIM_NEW_3806_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_3806_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_3802_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_3803_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_3803_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_NEW_3546_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_3546_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_3547_lociStitched_2,3_RASMC_H3K27AC_PDGF_2H_REP2_3416_lociStitched
Paqr6	363.209	5166.9302	6_RASMC_H3K27AC_UNSTIM_REP1_7400_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_7400_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_7400_lociStitched_3,1_RASMC_H3K27AC_PDGF_24H_NEW_16169_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_16948_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_16948_lociStitched_3,7_RASMC_H3K27AC_PDGF_24H_REP2_9783_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_16165_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_14221_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_14221_lociStitched_3,7_RASMC_H3K27AC_PDGF_2H_NEW_15790_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_15791_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_9788_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_9788_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_16162_lociStitched
Pard3	828.4	1859.9257	4_RASMC_H3K27AC_PDGF_24H_REP2_9013_lociStitched,4_RASMC_H3K27AC_PDGF_24H_REP2_9013_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_13158_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_13157_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_13157_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_13157_lociStitched_3
Pard3b	618.2	713.1472	1_RASMC_H3K27AC_UNSTIM_REP1_13687_lociStitched,1_RASMC_H3K27AC_UNSTIM_REP1_13687_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_30273_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_30273_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_30273_lociStitched_3,2_RASMC_H3K27AC_PDGF_24H_NEW_30274_lociStitched
Pard6a	585.493	532.7653	3_RASMC_H3K27AC_PDGF_24H_NEW_14192_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_14192_lociStitched,5_RASMC_H3K27AC_UNSTIM_REP1_6357_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_6357_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_REP1_6357_lociStitched_4,5_RASMC_H3K27AC_UNSTIM_REP1_6357_lociStitched_5,5_RASMC_H3K27AC_UNSTIM_REP1_6357_lociStitched_6,4_RASMC_H3K27AC_PDGF_2H_NEW_13829_lociStitched_1
Pard6b	824.4	6516.8593	1_RASMC_H3K27AC_PDGF_2H_REP2_17559_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_17559_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_17560_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_17561_lociStitched,6_RASMC_H3K27AC_PDGF_2H_REP2_17566_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_17566_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_17566_lociStitched_3,1_RASMC_H3K27AC_PDGF_2H_REP2_17569_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_12086_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_19566_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_9152_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_17562_lociStitched
Pard6g	188.1776	46.5333	4_RASMC_H3K27AC_UNSTIM_NEW_14362_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_14362_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_14362_lociStitched_2
Parg	612.2196	1610.7295	1_RASMC_H3K27AC_UNSTIM_NEW_11245_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_11245_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_9986_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_9986_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_9986_lociStitched_4,4_RASMC_H3K27AC_PDGF_2H_REP2_9986_lociStitched_5,4_RASMC_H3K27AC_PDGF_2H_REP2_9984_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_9984_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_REP2_9985_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_9985_lociStitched_3
Park7	1523.877	5177.2984	1_RASMC_H3K27AC_PDGF_2H_REP2_21150_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_21150_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_24200_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_21152_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_21152_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_21152_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_REP2_21152_lociStitched_4,5_RASMC_H3K27AC_PDGF_2H_REP2_21152_lociStitched_5,4_RASMC_H3K27AC_PDGF_24H_NEW_24202_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_24202_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_24202_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_24203_lociStitched,6_RASMC_H3K27AC_PDGF_2H_NEW_23662_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_NEW_23662_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_NEW_23663_lociStitched
Parl	716.4	662.9287	1_RASMC_H3K27AC_PDGF_24H_NEW_6555_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_6555_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_6343_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_6343_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_NEW_6343_lociStitched_3
Parn	683.8	2779.3363	5_RASMC_H3K27AC_UNSTIM_NEW_3659_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_3659_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_3659_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_3659_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_REP2_3276_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_3276_lociStitched_5,3_RASMC_H3K27AC_PDGF_24H_NEW_3560_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_3561_lociStitched
Parp1	623.8	162.8562	5_RASMC_H3K27AC_UNSTIM_REP1_3731_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_3731_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_3731_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_REP1_3731_lociStitched_3
Parp14	574.6	1198.4389	7_RASMC_H3K27AC_PDGF_24H_REP2_4164_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_REP2_4164_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_REP2_4164_lociStitched_2,7_RASMC_H3K27AC_PDGF_24H_REP2_4164_lociStitched_3,3_RASMC_H3K27AC_PDGF_2H_NEW_6038_lociStitched
Parp16	936.8	5226.3791	8_RASMC_H3K27AC_PDGF_2H_REP2_25106_lociStitched_1,8_RASMC_H3K27AC_PDGF_2H_REP2_25106_lociStitched_1,8_RASMC_H3K27AC_PDGF_2H_REP2_25106_lociStitched_2,8_RASMC_H3K27AC_PDGF_2H_REP2_25106_lociStitched_3,1_RASMC_H3K27AC_PDGF_2H_NEW_28114_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_25104_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_28738_lociStitched,8_RASMC_H3K27AC_UNSTIM_REP1_13056_lociStitched
Parp2	593.702	79.0203	4_RASMC_H3K27AC_UNSTIM_NEW_10359_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_10359_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_10359_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_NEW_10359_lociStitched_4,4_RASMC_H3K27AC_UNSTIM_NEW_10359_lociStitched_5,4_RASMC_H3K27AC_PDGF_24H_NEW_10027_lociStitched_1
Parp3	993.6294	1556.0055	6_RASMC_H3K27AC_PDGF_24H_REP2_17677_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_17677_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_17677_lociStitched_5,5_RASMC_H3K27AC_PDGF_24H_REP2_17678_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_17678_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_REP2_17679_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_17679_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_17679_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_REP2_17679_lociStitched_4,6_RASMC_H3K27AC_PDGF_24H_REP2_17679_lociStitched_5,6_RASMC_H3K27AC_PDGF_24H_NEW_29281_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_29281_lociStitched_3,3_RASMC_H3K27AC_PDGF_2H_REP2_25562_lociStitched_2
Parp6	564.8	2515.8111	5_RASMC_H3K27AC_PDGF_2H_REP2_24980_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_24980_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_24981_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_24981_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_24981_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_NEW_27976_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_17221_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_17221_lociStitched_3
Parp9	690.4447	1792.7733	6_RASMC_H3K27AC_PDGF_2H_NEW_6033_lociStitched,6_RASMC_H3K27AC_PDGF_2H_NEW_6033_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_4160_lociStitched,7_RASMC_H3K27AC_UNSTIM_NEW_6446_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_6258_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_6258_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_6258_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_6258_lociStitched_4
