BRD4_UNSTIM	BRD4_2H	BRD4_24H
Glmp	5618.4173	6489.5427	7091.56925
Glrx	7312.18305	6592.72635	7786.41975
Glrx5	5847.63805	6511.2476	10964.66675
Gmppb	2595.3493	3020.85145	3774.35225
Gnas	1428.18875	2150.0692	2095.55165
Gnl1	5298.08075	6640.0285	6744.28445
Golph3	3156.26925	2764.8368	3814.418
Gorab	4631.3394	5065.43275	5949.78935
Gosr2	2197.87715	2223.7862	2833.28175
Got2	1869.00515	2490.0952	3167.44705
Gpc1	1435.4076	1896.6862	3846.9618
Gpi	3561.52245	3078.21585	5058.16055
Gpr153	4323.78255	4397.0252	7156.0031
Gpx8	2717.70055	2976.43175	3290.88075
Grina	9074.98605	9381.65505	15436.92925
Gripap1	2313.8104	2634.8694	2976.1905
Gsk3a	13986.50825	13439.9767	21390.68475
Gss	2696.01285	3035.49385	3718.825
Gtf3c6	4008.41345	4658.39015	5762.46475
H2afy	1678.34485	1883.32225	2251.6144
Hagh	2688.3696	2784.95585	3451.22115
Hap1	6656.84385	6910.4032	10660.41935
Has2	817.84815	695.197	998.8502
Hdac5	6098.2033	6506.80155	9195.6779
Hebp1	3476.9971	4126.63055	5057.72965
Herc3	3753.06745	4343.3936	4346.80515
Hgs	3615.6415	3928.0011	5184.3318
Hid1	5619.54735	5503.00945	9015.1589
Higd1a	1172.3932	870.9996	1197.5785
Hip1	11724.26975	12762.6289	17167.7409
Hk1	4807.8459	4905.49485	7616.7887
Hm13	5576.29995	5452.25815	8606.5814
Hmga2	2831.33525	4982.97705	4374.65105
Hnf1b	16036.2978	17126.54705	21008.2403
Hnrnpm	5068.7924	4566.5471	6331.0087
Hook3	1953.43665	1836.30135	2332.7685
Hsd17b12	3591.06645	3894.6811	3603.975
Hsp90b1	2440.9489	2962.07775	3930.00315
Hspa4	11465.7217	10569.8984	10628.988
Htatip2	2365.7724	2399.1325	3655.35815
Htra1	25582.97625	30451.21065	37915.79005
Hyou1	4858.3722	4928.11365	6185.49855
Icam5	3944.6354	4212.971	5007.83305
Ict1	8048.15925	8234.1985	13187.82885
Ier5l	17594.73755	20123.1466	33759.4707
Ifitm2	13443.3429	13710.75185	19198.3091
Ifitm3	19803.9679	20203.7677	28709.30245
Il1rn	5775.77175	6900.7516	6970.4653
Imp4	6242.77665	6135.64405	9088.3109
Impdh1	1874.70265	1596.45535	2744.3775
Inpp5a	4372.6667	3803.9721	6974.40245
Inppl1	2517.8058	2515.7739	3735.8295
Irgq	5247.31555	6859.26215	8701.5529
Itga7	8903.8345	10534.3452	16897.3891
Itgb1	11933.66835	13677.2413	12425.35945
Itgb5	11185.94565	10260.33825	16156.7888
Itm2c	2517.70675	2644.0064	4056.87575
Itpr3	3076.69045	3305.16295	5809.9348
Jagn1	3598.29675	2572.06005	4584.56315
Jak3	2240.4666	2449.62285	3639.60785
Jam3	3537.7287	3170.2278	4161.0971
Josd2	1194.24485	1056.8085	1650.20175
