BRD4_UNSTIM	BRD4_2H	BRD4_24H
Aebp1	3583.25005	2465.31195	5861.23625
Aen	4560.46005	6502.33205	6600.82345
Aes	4273.80975	4386.93705	6511.67735
Afap1	13313.3436	12779.35225	20236.08015
Afap1l2	7396.0756	5002.98695	8338.3395
Aff1	12203.64805	13172.75775	15962.9034
Aff3	4652.38225	5363.50015	3882.26355
Aff4	6150.80495	5187.2788	6443.69235
Afg3l1	2739.7025	2606.84225	4318.9694
Afg3l2	5387.6762	5995.7862	8150.97445
Afmid	4957.03585	4030.4345	7410.2714
Aftph	1782.5885	1724.7573	2188.355
Aga	865.6474	778.6679	1057.4235
Agbl5	6962.93505	6936.60075	9158.75345
Agfg1	6425.60875	7119.2096	8327.76725
Agfg2	4911.88595	4337.69285	7382.00145
Agk	1003.5246	1012.2118	1331.489
Agl	1670.6567	1761.1715	1906.52995
Ago1	601.6999	548.51185	774.0883
Ago2	6390.4909	7644.04955	8741.71665
Ago3	1849.8569	1674.12985	1998.6977
Ago4	518.77205	618.9182	698.03945
Agpat1	3075.2182	3081.0341	4758.53895
Agpat2	7017.6014	8363.72265	11021.9982
Agpat3	5099.31215	6160.1418	7527.62565
Agpat4	3652.3287	4223.96245	6437.7108
Agpat5	6778.00865	4317.87215	6270.7658
Agps	1170.85065	1354.4011	1901.30645
Agrp	7214.80435	6729.94715	8189.47795
Agtr1a	5524.7037	4879.397	5000.2859
Agtrap	3301.75955	3268.69345	5436.71195
Ahctf1	2957.0981	2966.99465	3850.7348
Ahcy	1214.1881	1204.01945	1589.37505
Ahcyl1	7778.40065	7264.71605	7797.4193
Ahcyl2	1358.31715	1310.3235	1763.66015
Ahdc1	6105.2159	6236.5527	9166.36805
Ahnak	29822.2851	31535.9497	37566.014
Ahr	13443.28235	17803.395	12058.45995
Ahsa1	1852.84135	2190.69255	2922.6073
Ahsa2	1694.2957	2137.81665	2317.4682
Aida	7117.49995	8451.4632	9844.2041
Aif1l	1980.47435	2058.075	2260.9801
Aifm1	1347.17795	1256.0405	1608.19315
Aig1	5462.79235	8610.6983	4654.2096
Aimp1	847.78465	701.2273	877.0962
Aimp2	4286.53115	3659.0907	5346.0271
Aip	8588.9603	8709.79815	11242.1125
Ajuba	6850.1443	5914.44335	9136.1467
Ak1	6358.47575	6230.9753	9966.32145
Ak2	5218.32495	5019.5144	9516.7673
Ak3	5512.6332	5311.47005	6326.22975
Ak4	570.2568	557.72555	836.4655
Ak8	1005.7544	842.55975	1248.4291
Akap10	3338.0354	3674.7507	3944.21855
Akap12	6212.534	7968.73495	7537.98645
Akap12	6212.534	7968.73495	7537.98645
Akap13	4947.98015	5711.15165	5201.41095
Akap17a	2001.6837	2096.2664	3300.0028
Akap2	4426.07935	5979.5433	6247.76545
Akap5	11641.07775	9801.2666	13844.5129
Akap8	6660.95245	6344.74915	7889.9282
Akap8l	4995.88735	5252.58695	6364.2935
Akap9	2946.7083	3096.0891	3376.65895
Akip1	10972.70255	8228.2784	12749.13815
Akirin1	970.8212	889.5783	1274.9878
Akirin2	5089.791	5106.29075	4269.2583
Akna	1479.3575	1463.1186	2317.86725
Akr1a1	3827.29445	3836.3696	4391.5443
Akr1b1	1620.9976	1929.31595	2239.64135
Akr1c13	1132.93835	1449.6154	1451.9369
Akr1c19	1186.66745	1058.30195	1423.53415
Akr7a2	6712.7376	5917.75375	9358.62295
Akt1	5025.05755	6094.93515	8594.56025
Akt1s1	6142.93295	6331.1315	9165.22625
Akt2	4845.02755	4877.3761	7759.07795
Akt3	1450.28515	1843.2261	1768.26965
Aktip	933.29395	612.00565	1201.0111
Alad	1721.8957	1512.43985	2133.4752
Alas1	3041.41	3017.15715	5035.5948
Alcam	2232.22455	2922.846	2747.10555
Aldh16a1	5443.5326	5940.0106	7163.8056
Aldh1a2	2473.70635	2663.1024	2430.84715
Aldh1a3	5643.8209	6054.7704	8228.47535
Aldh1l2	2093.35975	2400.57895	3358.2123
Aldh2	4903.70355	3569.03465	7435.52095
Aldh3a2	1745.05945	1787.4389	2462.01685
Aldh3b1	6040.71835	5569.6179	10574.478
Aldh4a1	9041.1204	9419.25625	14752.88065
Aldh5a1	1870.92045	1887.5528	2339.40295
Aldh6a1	3444.7678	3550.22055	4218.02585
Aldh7a1	2003.35815	1921.5004	2363.7244
Aldh9a1	2232.68235	2851.9293	3241.2168
Aldoa	8387.4504	9053.39905	11613.17705
Aldoa	8387.4504	9053.39905	11613.17705
Aldoa	8387.4504	9053.39905	11613.17705
Alg1	1451.9003	1474.00665	1589.1539
Alg10	1004.3468	1021.9174	1158.74965
Alg11	498.4467	384.74515	658.61465
Alg12	7166.9216	6214.22815	10463.7105
Alg13	343.03965	347.1237	450.1045
Alg14	3295.4174	3507.12255	4097.19105
Alg2	2879.6389	3292.9855	3878.1023
Alg3	1726.29115	2428.17335	2066.5571
Alg5	2754.29715	3587.231	3126.3003
Alg6	497.6007	369.39135	731.27095
Alg8	2497.00595	2259.2703	3884.54495
Alg9	6552.4972	6909.9832	7476.51775
Alkbh1	2276.06425	2575.15735	2984.8474
Alkbh2	833.15075	555.60415	1282.96085
Alkbh3	5194.1012	5308.7926	5838.80915
Alkbh4	4918.6059	5124.5955	8082.699
Alkbh5	5343.13845	4838.1277	8047.7322
Alkbh6	1442.0071	1645.26935	2027.0526
Alkbh7	3544.12145	3683.1389	5298.2033
Alms1	806.2427	691.61215	1486.91655
Aloxe3	7723.9683	8222.35645	11015.9137
Als2	1330.06875	950.36305	1518.03025
Alyref	8149.6504	9692.19485	12953.732
Amacr	1026.0752	1217.6484	1216.2844
Ambra1	2674.2288	2560.8495	2804.32375
Amd1	3390.42185	3875.37895	4670.96295
Amdhd2	2919.52305	2904.3031	4323.9454
Amer1	3573.32105	3640.1466	3791.92895
Amigo1	1739.97345	1916.4844	2238.7864
Amigo2	1597.11915	1176.42225	2118.7955
Ammecr1l	4294.48415	3991.3063	4966.3325
Amn1	2589.09455	2449.24045	3834.5936
Amotl2	27875.14715	20691.06625	34148.9225
Ampd2	4073.57185	4177.89415	4561.19605
Amph	1842.83295	1640.18085	1759.67345
Amz2	1866.9793	1868.4111	2871.70295
Anapc1	2194.48595	2034.3488	2437.871
Anapc10	1059.88395	1313.6974	1292.7188
Anapc11	8108.0837	9655.45955	12880.9278
Anapc13	8468.98955	8384.537	10562.1968
Anapc15	10035.33235	9951.4269	11075.87
Anapc2	3719.22015	3968.7079	5823.23695
Anapc4	947.2331	864.48135	1099.2118
Anapc5	2206.7176	2256.1822	2734.986
Anapc7	4146.9838	4107.002	6351.76425
Angel1	2612.33045	2512.28885	3753.7452
Angel2	2180.83865	2210.77295	3286.05605
Angpt2	4986.32935	2969.964	4712.03765
Angptl1	1536.7459	1692.97075	2047.9924
Angptl2	10210.6621	9241.0244	14576.9202
Angptl4	5761.83085	5002.04425	8669.0204
Angptl6	1577.2981	1753.3308	2264.9833
Ank3	3251.9139	3611.4997	5476.13165
Ankfy1	969.3555	753.252	1170.981
Ankh	1886.9277	1688.83825	2672.692
Ankhd1	9989.10875	12213.471	12340.94085
Ankib1	3150.53175	3972.7176	2932.12415
Ankle2	2349.8791	2371.5159	2400.2319
Ankmy2	5648.7307	6834.6458	6386.22425
Ankra2	1011.6863	1148.5249	1461.8997
Ankrd1	22603.32885	13881.0276	23737.2067
Ankrd10	2924.26605	2929.2977	3329.6395
Ankrd13a	4386.49555	4809.0605	6070.64925
Ankrd13c	2033.563	2083.2374	2002.1779
Ankrd13d	10254.3293	10093.05855	12610.18155
Ankrd16	3028.8527	3076.04535	3794.4867
Ankrd17	2118.4924	2241.20075	2239.1132
Ankrd23	3805.38465	3101.92805	5644.32625
Ankrd27	1445.3468	1724.35025	2145.7898
Ankrd29	5155.6871	5346.5824	6637.35665
Ankrd34a	7054.98465	6528.0141	9670.5369
Ankrd37	1550.2574	1580.72045	2023.2002
Ankrd39	4065.5196	3443.88915	6193.9251
Ankrd40	6713.5039	6008.5771	7876.51095
Ankrd42	5492.6983	5647.0344	5775.1892
Ankrd44	514.52265	398.07135	731.5403
Ankrd46	2616.09975	2400.8882	3688.36835
Ankrd49	2420.24145	2742.9781	2966.54725
Ankrd50	3765.7881	4449.54115	4014.52075
Ankrd52	4818.43265	4834.19915	6323.17245
Ankrd54	6531.2872	7173.84455	9854.682
Ankrd9	2005.5903	2008.99895	3736.2572
Anks1a	2563.9318	2743.02775	3283.48125
Anks3	1710.9756	1365.04385	2801.0147
Anks6	1918.5606	1963.6911	2827.97365
Ankzf1	4574.9993	4869.3088	5739.71765
Ano1	13674.7039	16057.6275	16868.27375
Ano6	12588.1604	12126.99535	18285.63165
Anp32a	8250.4829	8173.67035	12320.8399
Anp32b	1329.39395	1577.22805	2100.83745
Anp32e	4375.14715	3850.5583	6025.04235
Anpep	5464.17435	5533.4245	10005.25115
Antxr1	13420.69495	11025.7599	15667.9316
Anxa1	25023.8243	23736.47065	22939.233
Anxa11	7544.8248	7608.05905	10951.174
Anxa2	10381.9082	11934.23395	12406.6673
Anxa3	2421.321	3246.35675	2333.9912
Anxa4	4235.4178	4237.629	6026.43035
Anxa5	9434.88275	10533.51165	11791.57755
Anxa6	6699.32915	6840.0156	9405.35695
Anxa7	1765.722	2054.20175	2151.758
Aoc3	1676.7281	1334.71295	2009.61555
Aox1	1966.63325	1372.5503	3126.126
Ap1ar	4937.9695	4550.0277	4781.4228
Ap1b1	2043.2465	1918.7693	2948.0348
Ap1m1	4322.2459	4070.65355	7644.39925
Ap1s1	15325.94085	26484.95985	21116.72125
Ap1s2	1270.62495	1249.677	1476.87755
Ap1s3	2290.35085	2342.80455	3088.60175
Ap2a1	4366.2171	4424.98975	6191.84415
Ap2a2	2906.4427	2623.06	4094.8917
Ap2b1	4430.31185	4653.50695	5399.2682
Ap2m1	2695.40835	3361.087	3340.39585
Ap2s1	3195.2756	3251.17855	4096.24355
Ap3b1	1543.9408	1453.7508	1781.8368
Ap3d1	6002.25605	9369.675	9154.11805
Ap3m1	3015.8483	2794.76715	3759.0059
Ap3m2	2952.73905	2743.15715	4838.78405
Ap3s1	2882.8167	3386.8936	2763.62435
Ap4b1	4246.4482	4489.2551	5015.1825
Ap4e1	3592.3742	2854.08745	4291.7437
Ap4m1	3048.77085	3339.3976	3737.26665
Ap4s1	6088.3885	7126.5559	6803.2598
Ap5b1	16339.0547	18021.8149	23390.67805
Ap5m1	1093.28905	885.65135	1237.59605
Ap5s1	4972.93835	4124.54405	6422.5884
Ap5z1	5637.9523	5198.65715	9226.17025
Apaf1	2829.08115	2924.41395	3757.72555
Apba1	9181.44675	6552.2766	7747.64575
Apba3	4536.8263	4199.0739	7005.15715
Apbb3	7191.04105	7371.79495	10434.66785
Apeh	2134.38495	2600.8628	3613.1123
Apex1	2755.32065	2116.3418	3322.8013
Apex2	376.751	454.0656	591.881
Aph1a	3542.20845	3695.34245	4613.0232
Api5	4386.5767	4773.9628	4899.54955
Apip	1263.8809	1365.7549	1535.5701
Apitd1	2259.94395	1957.36165	3540.9987
Aplf	910.76115	993.582	1226.78225
Aplp1	1084.26225	1329.5913	2286.5038
Apoa1bp	1909.6224	1823.24855	2765.70955
Apobec3b	6511.9773	4916.573	10052.766
Apol9a	3168.40475	3343.4402	4580.3402
Apom	3456.35755	3348.9683	4900.3552
Apoo	288.1958	219.3621	347.4366
Apool	1183.88115	1758.95835	1283.2326
App	4956.44705	4557.06965	4907.31715
Appbp2	2139.47535	2301.10875	2559.39005
Appl2	2809.4929	2423.57305	3692.2106
Aprt	3727.7933	4647.3457	6610.6099
Aptr	6163.28665	5145.68615	8601.43425
Aptx	3297.39535	3261.3387	4048.64515
Aqp1	4007.6595	4035.99555	6986.60705
Aqp11	6135.9909	5379.23365	7117.83205
Aqr	1542.357	1976.0835	1683.7059
Araf	3388.0068	3526.25025	2955.44525
Arap2	832.73195	1187.1438	1006.70375
Arc	2458.3835	3640.42435	4122.0711
Arcn1	6884.82745	8950.5795	10096.01675
Areg	903.0526	1107.7921	1238.3799
Arf1	2735.56755	3322.7092	3822.9151
Arf2	1551.1483	1709.77335	2034.146
Arf4	3358.1232	3625.2171	3433.9484
Arf5	2010.17895	2425.9354	2972.2235
Arf6	6025.2435	6164.7126	7655.6749
Arfgap1	6270.56635	6460.0753	9338.91735
Arfgap2	2985.33535	3050.57255	3974.33985
Arfgap3	4721.1082	5243.93615	9048.8606
Arfgef1	1696.9596	1644.52395	1817.37265
