brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_24	h3k27ac_log2_2_v_24	rna_log2_2_v_24
Dlst	2628.57485	3109.09905	3931.973	6234.96085	10193.35745	8124.03035	44.7014871307599	68.3517213714356	68.1403299204021	0.33875683610133	-0.327361784861582	-0.00446873849493734
Vps41	588.11715	508.8857	643.59505	1204.8025	1268.33965	1058.029	38.264833537017	26.8209992517739	67.4428966117045	0.338811578818818	-0.261561966547101	1.33030351231001
Psmd9	1232.8733	1348.7796	1705.8529	3994.28115	5003.92635	3974.99545	30.3646852699521	28.3531532308812	41.6530945347749	0.3388386236792	-0.332107346427373	0.554914491655672
Nfe2l2	20284.4313	20688.71685	26167.2357	71734.97145	62024.6493	77035.18285	89.2664631163279	148.115054759008	160.008256432444	0.338917356974045	0.312675818809627	0.111428063192791
Actr5	703.69505	837.24935	1059.1365	2239.83465	3841.51455	3236.79855	3.14029771207277	2.2633472174319	3.73903440191642	0.339159277783541	-0.247107639253546	0.724207821401256
Canx	6664.7359	6636.92445	8396.29715	22359.8604	30466.4772	25172.39865	182.070478866444	210.142277321033	282.735779251328	0.339238373661793	-0.275379996813433	0.428088024110118
Ubxn2b	1344.82925	1213.5751	1535.3549	2143.622	2599.3692	2095.45	3.20757062462821	3.4870889712882	8.89887007648003	0.339308785709949	-0.310901463363557	1.35159898899972
Kif1b	2725.3428	3091.6732	3911.7559	10134.53375	15810.0718	12253.5087	15.556958248783	14.9254451527926	21.0323363819477	0.339428516833141	-0.367649006327648	0.494835160437963
Txndc17	5184.68505	4834.9326	6117.45005	11709.3877	15466.48305	14497.53015	48.0791786298379	57.7492178106484	80.9159068693563	0.339434638143885	-0.0933380385950926	0.486621937070948
Rpl5	2042.1158	2114.256	2675.1192	7278.0014	12876.7589	7918.967	1243.51403540444	1318.81012648863	1263.51630823693	0.339453104823734	-0.70138535713547	-0.0617925845986687
Mrpl46	2200.7674	2627.3219	3325.02825	5575.7713	7963.09425	7716.01245	13.2787325110645	15.3848200467394	19.0202401872715	0.339773627462824	-0.0454736620276712	0.306027895796439
Gdnf	4805.9594	5551.2623	7025.61355	14569.67865	24220.14575	22209.2863	1.03160160303434	8.02102294364263	6.73884073076653	0.339808359250885	-0.125044514463028	-0.251285810552449
Men1	7772.43615	7876.52955	9969.52905	16042.82045	19537.1461	18223.6197	19.9825882684129	20.7973050696508	27.7172298140724	0.339965245958828	-0.100410194617989	0.414386480205494
Frg1	1706.60585	1577.24785	1996.3869	3377.49635	3218.10945	3644.0897	32.8701922921369	16.2946900630066	39.8529227776138	0.339981958022735	0.179345077910797	1.29028362283984
Ube2z	3066.11845	2923.3082	3700.40445	8213.07765	11905.02615	8285.9693	60.0002525096384	96.6796975521833	94.1761856857563	0.340081025950356	-0.522828409395007	-0.0378506679235713
Usp12	4121.64475	4278.8046	5416.23225	9452.567	8826.10795	9527.7307	6.72662625379618	21.3326211035008	14.4677628737376	0.340081806556553	0.110355243523777	-0.560219380532338
Adamts5	4910.9857	3284.7256	4157.93035	14728.1336	6189.91235	10154.40335	9.12380744587184	5.01531519272934	7.82859311453526	0.340092736174915	0.714114586655731	0.642412691061041
Clcn5	277.58025	272.7486	345.26655	672.93585	729.9495	612.7947	0.691937607691128	2.01464843894614	3.27465745724875	0.340138778944004	-0.252392838072414	0.700815895735803
Prkd1	541.68645	621.47845	786.74675	1033.0131	1788.64315	1512.4709	4.47330518414058	3.61606248551932	3.92950893592199	0.340194947706397	-0.241958200636525	0.119929424869221
Mocos	1705.358	1820.1789	2304.23355	2930.95165	3694.3322	4503.0906	1.7890413966685	2.01747719529791	3.65757273196719	0.340206695686398	0.28560190279927	0.858334187101404
Col4a1	14269.3679	14956.2195	18934.9234	41397.15015	46905.8418	40422.6724	211.600438368152	245.447619696181	141.725373428254	0.340304035205419	-0.214602908196916	-0.792317105313229
Csf1	10176.23605	10358.24445	13114.3443	29659.02455	28789.74175	34936.84395	14.0169927278975	70.1182908553963	49.7779627832715	0.340366165598127	0.279194439353864	-0.494283642923579
Pmaip1	6830.98155	6478.88295	8204.09435	18660.18125	14400.96505	16346.2296	95.8701282809628	165.672784527868	160.136914425394	0.340598989663068	0.18279240989667	-0.0490307137681887
Arhgap31	1780.0028	1745.04825	2209.7422	6014.08385	9460.72335	7279.4791	4.97334487858672	6.48014707546095	7.82701158463453	0.340611140117424	-0.378115274936588	0.272435022844974
Mars	4952.80845	5437.9543	6886.58785	12115.84995	17261.4378	13945.08545	49.62926474974	51.8480194944126	72.7034607346311	0.340725309733154	-0.307795864857814	0.487735157443361
Rab12	2670.52495	2923.1165	3701.9683	7449.68715	10537.62425	8649.4163	51.3301553895976	54.0196518658381	71.422525567273	0.340785212944233	-0.284874960354928	0.402894807563255
Pias2	2016.4713	1984.5285	2513.3595	5530.1123	7552.0229	5558.3514	26.7408300470701	26.7683755155847	40.6461431813304	0.340820761630114	-0.442206094522675	0.602588875561723
Acly	2562.98205	2850.7373	3610.5541	7618.19355	12240.89615	7893.8771	97.858458115861	91.0215678834654	143.659865727973	0.340885161074699	-0.632903217735016	0.658376729575989
Rnf20	668.6392	683.33545	865.46805	3029.42535	4288.32	3299.40555	12.9251919263191	12.5791276581506	18.1989022183576	0.340886588683079	-0.378206446364906	0.5328195506384
Cnot7	1125.9158	1126.42415	1426.71905	4186.11325	8075.463	5061.70535	17.3447803000912	16.4282493811993	19.8846792289255	0.340951096667141	-0.673921449609388	0.275478536656909
Mettl18	847.61855	779.111	986.8317	2320.99155	3264.6378	2346.38355	3.84204341929309	2.85601249128922	6.92566084489165	0.340975176287046	-0.476484076933261	1.27794945007425
Atf1	3380.7432	3877.4459	4911.9264	6811.79155	9606.64015	9114.2342	36.036120517407	47.6186762589025	40.6028311768385	0.341182291394173	-0.0759105048644404	-0.229947188042238
Tomm22	3181.0684	3266.4811	4138.126	5973.5754	7327.18495	6041.0215	93.5028498910772	99.6635679321165	125.916645252384	0.341240281593253	-0.278466510957045	0.337330881114747
Gpkow	3842.59385	3939.9537	4991.71755	11553.3197	16382.47415	13181.6897	11.9808519471743	18.3509931722657	11.1854756888179	0.34135762735793	-0.313617940670637	-0.714231533413795
Ccdc134	3277.1097	3430.66505	4346.8252	8901.21715	10801.0592	6814.14395	7.87593468141229	4.95531692974435	9.35812771772945	0.34147380482057	-0.664568466373664	0.917242586877855
Ccng1	1793.3407	2025.2138	2566.2675	6339.9748	5480.0278	5969.8622	167.08437074682	148.050083275712	349.367096623707	0.341597340399064	0.123514418759008	1.23865843969554
Ube2q2l	1854.0827	1438.05685	1822.2975	4662.3815	2102.56475	3444.4541	7.52987184398928	5.99922671577225	7.97453333512649	0.341637795933124	0.712125123138586	0.410623542520446
Lgmn	4342.7399	4154.6601	5264.82465	8740.16105	8896.10055	9198.37335	91.003575241314	87.403885066143	150.238512984054	0.341655029296467	0.0482056615098934	0.781485375355143
Ubxn1	9379.0481	9363.7425	11866.55935	19016.96785	22705.1602	19321.50445	129.30907056868	126.554881446981	203.071757312276	0.341744526898049	-0.232812783388646	0.682226451503866
Mturn	2853.0111	2969.29735	3763.1588	7694.76525	4966.1399	6870.79765	2.73852659319495	4.46528315738158	2.00430726371786	0.341822596131109	0.46835269132232	-1.15564797089602
Supt16h	2523.1929	2225.15095	2820.193	9310.90355	11497.86945	9148.7647	34.3164269367259	32.4324441858343	36.8797398512694	0.341890687803682	-0.329717691550844	0.185390726262467
Smad3	13807.5697	14856.0919	18830.55715	49910.38805	82808.25475	55117.0218	13.1038309159885	16.7911763903765	18.6705124093389	0.342021041445346	-0.587276654722073	0.153058213572429
Lamb2	3830.5922	4190.9609	5312.9881	14246.5805	18094.685	15542.6551	76.5863751733879	83.7052548277525	63.5973485172396	0.342242419714784	-0.219333017291392	-0.396351576442782
Avpi1	7184.2758	6982.96385	8853.01055	15759.99485	16242.59245	15501.91505	51.608194180506	65.6386515839414	67.3492184525921	0.342328636654825	-0.0673354649876732	0.0371156023268604
Napg	961.6977	938.0001	1189.2092	2461.3466	3708.0777	2997.5766	16.8994791911382	9.08272906780893	22.2360112449196	0.342342547768288	-0.306874854172976	1.29170026558034
Hibadh	4314.4956	4072.35325	5163.04445	7662.0198	8599.6369	7847.9729	43.5135162358403	30.2782054197175	47.9646980412218	0.342359307494428	-0.131955686836935	0.663693274866788
Fgfr3	5976.8106	6078.1015	7706.10455	29371.5424	23982.2584	23768.35675	43.86364699256	47.5466633728106	7.77515096645835	0.342380992364333	-0.0129253586736731	-2.61240150953665
Fopnl	5197.29415	4422.55975	5607.39145	8632.8279	7299.9123	9730.14865	29.7263203751793	17.7510480057912	29.1542906465142	0.342448153092114	0.414582713815285	0.715804018413436
Pigt	6355.86055	6786.1271	8604.3335	24124.96325	36540.79985	25612.1584	89.4113115344495	91.8800406068909	135.305282917085	0.342474992943878	-0.512679376254145	0.558394770178039
Rnf40	4372.89055	4469.4265	5667.67565	8775.13835	9803.67325	9455.949	15.9151994237669	17.017605647742	24.1730584196547	0.34266747591824	-0.0521001464649089	0.50637195085493
Iba57	2332.5148	2542.5452	3224.21715	7057.4479	8784.09715	7890.5246	3.05323150374835	0.930229339903087	3.42220342411321	0.342675490423749	-0.154772789563411	1.87926717066323
Brpf1	4019.2291	3428.54885	4347.8336	13117.26565	14191.00775	13117.5186	9.76299463609864	12.8288327647168	13.038930768536	0.342698648808287	-0.113482207889307	0.0234356567472371
Chka	5705.1138	5411.26345	6863.24515	11180.24435	13191.5007	10988.47425	18.819002175565	41.3004196619951	13.0898766762821	0.342925406251304	-0.263617616787839	-1.65770493596054
Plxna3	1165.2524	1065.99825	1352.1241	2646.54145	3825.73175	2833.73545	4.11948515281192	3.45501037497138	7.35328600983584	0.343022500741927	-0.433030640969065	1.08969905752591
Rest	1454.85025	1516.54575	1923.6834	4658.7918	7509.0597	5195.99145	10.6439537249013	19.0609461077179	15.8091322149699	0.343082359008841	-0.531233204956076	-0.269861552177102
Irgq	5247.31555	6859.26215	8701.5529	12487.12905	21956.5252	14474.66495	7.74739546790566	11.652881724044	13.3893635716377	0.343219496541957	-0.601119800050308	0.200400614233761
Des	5060.84945	7157.8041	9081.0666	8491.51765	15927.5935	11145.7192	0.408366522292816	0.411640174769128	1.52317099165601	0.343344696999496	-0.515038594136991	1.88762221166306
Ikbke	4722.1452	5281.204	6700.638	14145.9852	16495.70445	14732.56365	10.7156987674911	3.30459225085578	12.7869766646214	0.343431597781969	-0.16308189042546	1.952131020037
Mtmr6	2251.492	2208.60415	2802.22055	8131.3877	10165.22325	7667.5749	34.6340964568919	22.5105372562162	34.5242225983209	0.343435641780939	-0.406799640685533	0.617008439031586
Aftph	1782.5885	1724.7573	2188.355	7235.4331	12711.1191	7804.2924	12.5031785530652	22.8324644227499	28.9611823179752	0.343453427745075	-0.703751315395408	0.34303391523737
Dcaf17	1557.64875	1389.8606	1763.45485	4998.44475	5806.11725	4934.22565	10.1267749988798	9.16465395146124	8.37610687705679	0.343464447673579	-0.234750012468178	-0.12980055619439
Cpt1c	7387.2094	7755.60235	9842.60175	19264.52375	20272.735	22192.9982	13.1119257252732	6.45562478923689	24.3250334203444	0.343800887033774	0.130563847685609	1.91381315260929
Cltb	2092.4348	2151.96355	2731.12	5959.0284	9434.9291	6325.435	103.854897104244	162.216090863584	114.215469427583	0.343839062951524	-0.576846979228293	-0.506158869734175
Fam69a	1428.98265	1359.74975	1725.7576	2603.09245	2849.7721	4656.45135	3.20265680625514	4.07107914701568	4.2221068604287	0.343888677175276	0.708384355825025	0.0525518237861058
Mtmr4	7604.2959	7075.2274	8980.2515	25326.5526	18773.0554	22566.95365	19.8610325454374	9.68958494888768	21.0220350546474	0.34397933214602	0.265548205462505	1.11739556271858
Rbm8a	3773.58935	3912.11595	4965.71775	12984.2522	13630.93995	12976.8314	46.8008530748461	58.0800404131061	53.853989558165	0.34405313094698	-0.0709468913746765	-0.108989232146173
Phf3	3560.52765	2879.12985	3654.536	10340.41375	9758.2754	9749.62345	11.8923535646584	12.6403425975033	14.5393408471453	0.344055388765835	-0.00127969970250597	0.201926298858383
Dcps	7365.2681	7643.0484	9701.69785	25826.5866	33369.8821	35391.8254	21.7847718178809	16.0363074764139	26.2009002032184	0.344089082566132	0.0848695840881124	0.708274395563669
Crebl2	2867.0055	2673.8547	3394.0951	7355.53385	7455.43935	7410.5697	7.73231921795692	3.75494189911365	8.55068007642641	0.344105918643539	-0.00870891681784514	1.18724858415477
Wnt1	3534.7224	4219.72075	5356.4274	7775.42525	15092.58595	10152.0336	0.0996643991624032	0.49765308820885	0.103654195858734	0.344123552427767	-0.572071267943675	-2.26336187921474
Zc3hav1	1054.16225	1349.52175	1713.2859	4497.9709	8858.4897	5460.00035	10.4718805188316	45.3131306738293	15.5823138468748	0.34431768873616	-0.698159708421963	-1.54001969197815
LOC498265	852.04325	789.99215	1002.9438	2336.26515	3283.7427	2349.873	4.33417153308525	2.02899186441258	2.72340460392967	0.344330544044281	-0.482758300386017	0.424648252619722
Tmub1	4491.2577	5606.49445	7118.1971	13017.3438	29001.51655	20691.74695	8.79404118008502	10.8882122116825	15.6775309052117	0.344412896375546	-0.487072890452378	0.525931273168105
Klhl20	1472.8223	1443.59135	1832.9765	3610.4987	3448.762	3402.7614	15.3285880318373	6.75995198034878	18.301233662371	0.344525885924597	-0.0193725776943339	1.43685599858319
Fosb	10396.212	12933.78075	16423.2012	26721.99415	48393.59875	30133.35095	0.792199156683356	73.7548274637172	1.2865242254689	0.344591304207214	-0.683455112676043	-5.84118695232362
Ppp1r18	10085.8844	11024.9562	14000.1249	41219.0351	63339.6311	42740.96225	31.641308913888	140.216468775226	64.952457225244	0.344666773765331	-0.567489076383543	-1.11019979683352
Gcn1l1	18684.62825	24312.41565	30874.74595	81457.0178	151337.23685	98341.4141	26.7673136815507	24.7279710537486	37.5281029650829	0.344734020871684	-0.62189600377782	0.601827493735499
Gid8	4873.82265	4879.5609	6196.79675	17675.11375	26966.38155	19550.83295	43.5036771911775	40.0863907862303	58.6338690477417	0.344771320879442	-0.463931874453065	0.548621729361178
Rab34	3197.6858	3380.58375	4293.33475	9483.0201	15065.5503	11882.5588	80.8695891258484	84.3332073781541	146.664268907541	0.344826274991899	-0.34240783054622	0.7983447076669
Wdr5	4308.6897	4496.167	5710.93785	19380.5587	21635.50915	18254.34285	17.7592268458911	24.9685334384148	17.6108123663028	0.345032062156255	-0.245161339018503	-0.503649624502901
Ugdh	6503.4173	6143.49445	7803.67685	20363.60185	24724.2199	20510.6675	48.1529166610059	170.266407947218	45.0235517911296	0.345094536093844	-0.269550557998025	-1.91904205528816
Plod3	5163.8801	6436.6415	8176.55175	17115.533	28513.3673	18783.78635	85.8399142370405	139.090849445074	163.040696886394	0.34518443430369	-0.602150520916872	0.229204612652279
Hook3	1953.43665	1836.30135	2332.7685	6297.1859	10823.475	6911.36835	12.017534352148	19.4804603696532	21.2820505120795	0.345240309200396	-0.647120490667721	0.127609388147455
Rqcd1	2429.31955	2450.9607	3113.6172	6406.5277	11263.98845	6609.4381	12.1925169146888	17.689102273024	17.1514023018465	0.345244233421509	-0.769118228119924	-0.044534296466586
Hnrnpc	1410.804	1579.6759	2006.88045	3965.09365	4442.50595	3491.53965	10.3920925399827	6.89199787152474	11.4201845111558	0.34532608487887	-0.347510352414652	0.728591798786867
Stxbp1	11510.49915	13295.50615	16892.34125	54129.7058	87646.02665	62603.0667	15.5384259536992	16.8063376861275	37.0456100832398	0.345430596531235	-0.485455357896104	1.14029721553286
Ssbp1	973.41655	864.7157	1098.695	2291.1443	2447.9719	1672.4764	60.6952828004745	52.9208959125821	87.2389840750772	0.345493158152307	-0.549601144176112	0.721135483837624
Cdc23	3623.15345	3428.37245	4356.1093	7037.6665	6478.91315	6792.3556	26.0453047704275	18.2532853427921	26.2757220447657	0.345516304629514	0.0681601716700673	0.525574256504236
Snf8	3267.14655	3273.0367	4159.54265	8423.99115	10138.41475	8438.1465	100.379431157672	111.514062837274	161.27455974397	0.345795130727085	-0.264834048687181	0.532293221219616
Specc1	5552.6627	6927.95825	8804.9173	13806.82705	22112.21865	22120.38935	89.1056221732755	61.6756842527748	73.7121361248291	0.345879217669085	0.0005329926964599	0.257200350889683
Opn3	646.8966	639.4656	812.7894	1418.7846	3101.1216	1689.6942	1.93787036545917	1.97325287714058	8.86054274406898	0.34601483578107	-0.876027925554617	2.16681921961478
Ugt1a2	3969.3248	4630.0938	5885.2455	12086.23385	13414.4708	12702.22095	21.940186574153	34.2816718016725	24.6630384222085	0.346061176796349	-0.0787093710008193	-0.475086919576154
Camk2n1	1936.17845	2348.56205	2985.4524	6536.5139	9295.52685	6497.6108	31.9517211701905	50.7821590992671	78.5713596696964	0.346171855882334	-0.516627305889665	0.629681791132349
Mad2l1	736.6724	758.3491	964.07375	1991.924	2274.90865	1389.9348	14.2400153764897	10.7796335704819	8.14323403118567	0.346281379850861	-0.71079140477053	-0.404634367596118
Hmmr	2579.1725	2612.7158	3321.8775	7733.40815	7607.6203	7178.36245	26.5364226241621	12.8441443169887	8.94643194180117	0.346448669372938	-0.0837904728138668	-0.521726460655289
Slc44a1	3996.3074	3824.032	4862.27975	10513.47815	12910.37225	9425.12	7.4404721111206	9.47675463110803	13.1596640815476	0.34653830480829	-0.453947707148112	0.473657673140755
Anapc4	947.2331	864.48135	1099.2118	2349.3029	3018.8671	2310.1889	32.7073655457977	23.3980534334262	38.6763289287531	0.346562651484067	-0.385996423239344	0.725062351990863
Ube2d2	7276.54375	7892.90195	10036.21855	15640.5027	23750.11755	19386.10245	115.585816656754	162.787990801916	160.258929244797	0.346588060024583	-0.29291187331968	-0.0225895304040709
Parvb	1392.6468	2069.28985	2631.33065	1733.25065	7024.28995	4513.98475	5.48078647488639	6.11653769377953	33.6265917753341	0.346656806470465	-0.637950853395727	2.45881541975487
Cdc5l	2028.162	1975.0345	2511.56735	6069.8336	9972.926	7683.37015	32.5508049420829	28.5809936788519	45.1152952908135	0.346710108151575	-0.376277587434314	0.658560552927407
Usp13	735.27345	815.3946	1036.9428	2471.844	5267.58845	3352.44	2.43439921672282	4.8916230218176	7.4138803088155	0.346766006542138	-0.651931122211671	0.599915598877961
Cyfip1	2224.99945	2148.89825	2733.1192	6204.5387	8781.8249	6317.2852	43.7725664839327	44.2351551685389	67.843631656531	0.34695120874567	-0.475216063424432	0.617020015325335
Got2	1869.00515	2490.0952	3167.44705	4424.21235	12227.77215	8473.4022	61.7351248781682	67.6521930407963	129.635427671193	0.347119602431434	-0.529148319662273	0.938251434783158
Tapbp	3591.80715	3893.64065	4953.01535	10307.9277	15416.30625	13155.7558	18.2691319927251	55.3367155950944	44.2069616284604	0.347187350378528	-0.228763002727568	-0.323963437698463
Armc6	3509.68335	3716.29165	4727.9521	11022.13625	17065.33825	12783.1224	8.44257312729057	13.583447612893	8.68973028550854	0.347351692208376	-0.416828738801637	-0.644466392241224
Eif3b	2954.7431	3391.6497	4315.123	10388.6297	14160.2251	10764.50715	76.8199780186862	122.335677838323	117.485507063546	0.347414511529754	-0.395561931985357	-0.0583624133396814
Vat1	5602.0995	5785.58975	7361.13285	16381.11845	20646.41245	17919.13695	196.125392280843	241.228763190561	349.741006404205	0.347463781652515	-0.204389964985557	0.535885020033973
Mon2	771.77415	693.79945	882.7513	2694.19755	4531.14915	2299.63325	17.5192187833039	22.0202717912233	22.4406633762842	0.347488343649891	-0.978473184547514	0.0272830487187949
Stard7	5953.583	4672.20235	5944.66405	18553.0335	13022.14715	16219.2561	39.3816767589716	14.1658845870543	29.9852882380679	0.347492523702783	0.31674030538203	1.08183414753529
Vps28	6054.7476	7270.57315	9250.92725	14385.28095	24641.1362	16913.6947	45.7775799504758	66.8611987029525	112.740879905202	0.34752888040593	-0.542876937406072	0.75376960712393
Srsf10	5598.4649	5393.3771	6862.627	19002.8869	17299.32545	17776.8376	33.8825718834036	41.8213028732469	44.8017142277741	0.347572033632119	0.0392829154452876	0.0993159271322837
Morn4	3270.73295	3056.88655	3889.6759	4396.09945	4625.24535	5261.8498	4.33978872893789	2.40440560967576	7.23422697313769	0.347586939755836	0.18604017060386	1.58915857201228
G2e3	1411.76025	1325.9132	1687.27215	4477.05735	4487.82365	3585.3959	4.08727660903378	1.32102433966369	2.31673448504899	0.347706359622505	-0.323883555702535	0.810435661870605
Nudcd2	2539.025	2587.09715	3292.2441	7629.0095	7564.6549	7148.2897	34.398355535526	26.2962963346356	39.3611418447186	0.347737076092898	-0.0816761641897816	0.581912453616131
Arhgap11a	2904.17695	2643.62795	3364.32075	7994.55765	7745.0387	7792.83545	14.7239935024019	11.8283696303796	6.24567271253477	0.347796102854694	0.00887590554977002	-0.92132235679445
Nelfa	1049.8072	1086.23265	1382.40485	3867.12235	5433.08775	3329.6433	17.5936239737019	13.6796148554459	26.629360356658	0.347847050564459	-0.706404716532564	0.960990162854752
Eif1b	1383.02565	1342.754	1709.1193	4259.8856	7728.05505	4493.2662	51.8582411696318	99.778872993415	54.7025408722875	0.348058084354772	-0.782340835379815	-0.867126527979924
Ankra2	1011.6863	1148.5249	1461.8997	3875.0206	5178.4829	3549.3116	0.126495428003028	0.689304129329634	0.218267563740486	0.348062197646623	-0.544990268057271	-1.65904290737703
Fus	6312.896	6917.7892	8805.84625	16562.65475	20670.06365	16606.0751	191.04300589711	256.477157404401	183.636731228004	0.348150602709454	-0.315831703394878	-0.481975683851418
Rbms2	4226.8679	4362.1305	5552.68485	9476.1679	8716.1097	10125.50975	101.533041308174	94.4862213757817	146.648292688871	0.348152585063691	0.216238280348218	0.634184408855518
Prr13	5138.66195	4590.63905	5843.71265	11426.988	9704.5417	12845.77085	138.460920008913	141.461423857928	214.925301210843	0.348190237800235	0.40456147825248	0.60342664048413
Tm4sf1	10333.32335	8627.2535	10982.3123	36026.5244	13316.10285	30452.2916	9.37278997043362	7.7500318801085	15.3634776357995	0.348208589043349	1.19337887947801	0.987230667520989
RGD1304704	2421.1057	2099.2423	2672.3037	6198.9332	6998.92805	5418.36605	161.012341287558	164.55961466986	224.476308625382	0.348215279620815	-0.369276115638446	0.447952869246269
Abcg3l1	583.21025	578.65105	736.66065	2437.7734	2609.3998	2201.35755	4.5694226192929	13.7264878513662	8.34658478383276	0.348306573697171	-0.245324513660092	-0.717704627057007
Abcg3l2	583.21025	578.65105	736.66065	2437.7734	2609.3998	2201.35755	3.25068042313546	2.56199869095817	3.17993397457384	0.348306573697171	-0.245324513660092	0.311727072394979
Abcg3l4	583.21025	578.65105	736.66065	2437.7734	2609.3998	2201.35755	0.120216130861401	1.02651381818196	0.720150993372734	0.348306573697171	-0.245324513660092	-0.511381716209818
Fabp3	3850.75925	4323.943	5504.92705	11425.8628	10897.89345	12806.63785	226.217177507215	227.375723715802	216.641838441113	0.348375940663709	0.232842481331952	-0.0697663429377142
Acer2	2226.0058	1985.44995	2527.91795	6455.7462	9901.48115	7070.16245	0.400553731092025	0.622562305104163	0.425335751437864	0.348483644642684	-0.485900988265263	-0.549616101913774
Txnrd2	5507.08	5636.82225	7177.057	16611.88835	20980.7957	17557.84635	11.2668945208693	10.3308933561616	18.3677573079832	0.348510303953365	-0.25695349901417	0.830210469457753
Cap1	6294.864	6992.8627	8904.2669	22018.6404	23235.7432	22862.6893	324.251800211065	381.687146851263	501.487859870458	0.348613658085496	-0.0233506751378485	0.393824170934936
Hunk	771.8989	865.12385	1101.60375	1833.17885	2216.8452	1922.33225	0.753806555233848	1.60028517175289	0.895549813760816	0.348626788728193	-0.205650323183649	-0.837483429583335
Nr4a3	1917.0993	2194.3616	2794.19475	7564.26175	15335.51475	7602.842	1.51902140574206	162.658380553878	3.16079141582711	0.348631296091723	-1.01226587790462	-5.68541551189404
Rcor3	1995.3242	2030.98775	2586.16615	5915.02525	9253.35905	6871.8764	8.37776783100736	5.4397009596621	6.76431582576847	0.348633427071986	-0.429273083697753	0.314416677311463
Hist1h2bl	11050.00875	11205.12215	14269.33755	21332.4381	19487.9889	15326.45595	0.10810037737191	0.246300072228209	0.44910398312288	0.348759983520807	-0.34656108612954	0.866632466588248
Vdac3	2420.83655	2254.12575	2870.85775	6378.5075	7687.00885	6588.5313	139.294552664242	151.566523473114	209.751458259968	0.348913846481159	-0.222465430563089	0.468729700416909
Gprc5b	4761.3331	5367.62295	6836.4252	8507.0958	12671.5391	12460.74	0.986976273008264	11.5642704632654	11.5297049081226	0.348958797395928	-0.0242020190074754	-0.00431866678873627
Trim26	3019.29585	3498.31485	4455.9557	10322.54825	16031.69455	14881.5784	10.2896385632142	17.9860684858492	20.8272859841781	0.34907475149244	-0.107399373813619	0.211594985992699
Tmbim1	11842.93395	12494.06775	15914.77895	36690.78765	43422.8887	38005.61805	67.438877688938	136.336343300665	151.494749797581	0.349123860491041	-0.192243008417124	0.152097602606355
Cd180	12432.4371	10062.2365	12817.6143	35840.8327	27009.2121	33444.6032	48.3281824321078	31.4560353391375	48.0031166602838	0.349176759068168	0.308321873820615	0.609791230010294
Comt	5513.06015	5637.9635	7181.95815	16623.65775	20996.42045	17559.68895	52.3656561169055	53.090231310124	78.2602288382268	0.349203108320616	-0.257876103299598	0.559832901594646
Znhit1	5237.2521	6475.1125	8249.17575	17331.875	28840.7533	18991.81535	30.6949736611461	39.555234571677	54.9988842922344	0.349344715096123	-0.602731033840586	0.475533724948276
Gosr2	2197.87715	2223.7862	2833.28175	9262.58605	13834.94815	10789.53465	40.0191166093559	52.163777826419	70.9119330802637	0.349455984096588	-0.358684594007839	0.442980068224095
Cep78	5508.4534	5167.64435	6584.3101	14427.3243	14184.26975	15739.48655	4.3514843788679	1.39851476108605	4.93472144113846	0.349525500067795	0.150096600209801	1.81907316735123
Pnrc2	5526.28715	5264.568	6707.99705	19109.23995	14230.28475	18267.1107	65.7195871172342	35.9180646252483	77.5557627708654	0.349566903026606	0.360283930954136	1.1105243691425
Pxdn	10480.7196	10556.07765	13450.68315	32105.91055	33673.31795	32629.7639	94.1167237548262	79.735397766053	104.050029030387	0.349605579818855	-0.0454173334437762	0.38398512541146
Wbscr22	891.8721	862.2409	1098.6857	2384.37345	4055.1708	1679.08885	21.5634639058084	24.7517440227724	28.0460701659999	0.349615832047387	-1.27208410731384	0.180268451673059
Ddx23	9275.7141	10573.21005	13472.84525	19188.263	21484.97695	20824.2185	42.5048121813338	39.1009838643454	53.0227531506805	0.349641108519894	-0.0450658747853314	0.439406673291614
Rassf7	9572.49395	9875.3743	12584.4148	19646.8964	33924.443	25306.84185	6.51775552177031	1.87323209248765	1.72640898399099	0.349730794032265	-0.422797649917712	-0.11775538228352
Myh1	602.60775	455.57535	580.58335	1368.26665	912.163	771.0339	38.5999368683836	22.8730572470059	2.38166630288077	0.34981351020037	-0.242497359031946	-3.26360601606339
Kif13a	4516.3933	4253.407	5420.6149	14255.5938	20033.4713	15693.10555	23.5658103307548	31.7659632802971	22.2028350559452	0.349837606145085	-0.352281546531861	-0.516737864001733
Pigx	1918.2904	1678.9673	2139.7142	6674.0453	6691.2066	6489.7034	36.2783247811156	40.9988863300576	56.108643771298	0.349843977566161	-0.0441138460724275	0.452638319429203
Sept2	4576.8259	4657.3213	5935.92425	14050.0805	19044.34635	13747.6943	253.290804694047	248.381191424774	320.941692939539	0.349972266979231	-0.470173095063808	0.369755289490685
Rptor	3622.8601	4180.87575	5328.8639	10950.3819	14648.5186	13301.35475	5.7637493267564	3.87182418978256	8.99238171593638	0.350022817851888	-0.139181580275356	1.21568983276136
Fam83d	1752.62085	2091.12285	2665.53375	3584.3711	6518.54765	5292.9947	8.75931417316458	11.4841771828431	7.91715248701034	0.350146628714425	-0.300466354543683	-0.53659395079574
