brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_24	h3k27ac_log2_2_v_24	rna_log2_2_v_24
Gyg1	3207.7306	4360.7618	2957.74615	11044.12095	11346.70095	9223.9608	97.9778260021829	84.6915870464986	321.202108761182	-0.560081949795576	-0.298814608372185	1.92319079476881
Rfc4	3404.83695	4364.13725	2960.44635	9837.8891	17562.3355	7721.69315	11.1330738733552	9.2296105591632	8.3433423082093	-0.559881765342046	-1.18549558248289	-0.145644337951023
Cd55	776.0158	1233.9838	838.19115	2370.4515	3874.6196	2195.59035	5.02777336163896	12.9824621477384	3.01180010135917	-0.557972260569386	-0.819445773776021	-2.10786609503319
Gtdc1	6329.41355	8745.7968	5942.287	12613.65735	17381.8225	11272.4445	3.24181151673794	3.11951833024551	3.70068951526111	-0.557571543205079	-0.624778951110208	0.246470813102522
Sfrp2	353.58105	704.286	479.12425	832.26755	1775.9048	1468.8325	6.71275023080283	4.22507480774386	52.5375081967602	-0.555761570008368	-0.273884360072964	3.63629898585918
Acsl4	2753.4797	3862.11585	2633.2114	9341.7036	14597.49725	7130.81605	20.4158868903177	97.5813649942836	48.64291163608	-0.55256809199213	-1.03358194621232	-1.00437607693312
Cdhr1	5151.22955	10724.5734	7330.9005	5907.7772	17397.89715	11831.6042	0.147954046100549	7.2984652822208	6.9021933619051	-0.548857932081434	-0.556267244663546	-0.0805382358577602
Mex3c	1940.4881	2737.5463	1872.3744	7958.44355	12142.97745	7942.3583	17.0193543626749	31.8540207853761	28.1351829433955	-0.548014420078397	-0.612482861746457	-0.179100144420982
Kprp	1470.74185	1542.5112	1055.47065	4425.9061	1186.6884	1742.7619	2.28454696405518	5.73459349053084	1.0123737490028	-0.547394503158207	0.554434316106386	-2.50194921744919
Gfod1	5321.02565	10986.3045	7520.6396	15593.96395	34393.7041	16480.1723	12.7605024063094	125.855620037366	14.4634240183059	-0.546778916114489	-1.06141317225319	-3.12128860476159
Thbs1	15442.13245	27360.457	18816.29395	31480.33755	33392.13575	31300.6593	338.230149272539	3809.63357416248	555.443994816534	-0.540109824282801	-0.0933153250328331	-2.77793888246761
RGD1309730	3644.8316	4562.39425	3146.0566	8863.24385	6602.5484	5181.91445	19.6635518146497	20.4747058154792	25.987429906274	-0.536246493397659	-0.34953777434308	0.343971238733261
Eml4	1328.5927	1666.2108	1153.14495	1977.23485	1199.34645	1406.2839	8.99593621414238	8.3507639326621	8.78507292872436	-0.530997063488217	0.229639410473002	0.0731460805330042
Sirt5	5245.103	9056.36675	6277.7639	14149.97095	27688.9147	12817.3643	45.458312182956	39.5105340886074	62.9689739515178	-0.528681611548757	-1.11120888294706	0.672403811277296
Bbs5	1384.242	2128.9639	1478.3021	2366.342	4142.6385	2505.9562	7.32977010872917	2.3540789439035	6.54751260365625	-0.526210363693441	-0.725188732646753	1.47578422981544
Lypla1	7214.5838	9230.8252	6438.7599	10593.78365	10460.74735	9171.54525	67.1065076967613	58.5410987309383	93.1461586440375	-0.519676771796824	-0.189749197032986	0.670046450240444
Stam	6582.46525	8485.04215	5930.1375	17247.5417	20271.30155	14317.89065	23.8312110143963	83.1748886707769	44.3494229597689	-0.516856270048848	-0.501619755666846	-0.90723269664687
Cyr61	14076.8802	23146.45645	16190.97485	43730.21605	54214.3148	35243.8356	271.265163483098	991.723233490589	100.359623096852	-0.515601492372053	-0.621302890618241	-3.30475859691176
Tmsbl1	428.34965	709.4803	498.16365	1380.24805	1665.35715	1085.1299	44.6591249723345	34.9275475688459	59.859303570745	-0.51014287094981	-0.617963851861365	0.77721014626089
Dip2c	2360.119	3917.60065	2752.84485	5366.56625	11278.34995	6240.5979	5.20053971997445	3.8798795657717	8.23927541281545	-0.509047038420087	-0.853799850652941	1.08650559712967
Fam150a	12248.70615	10045.75635	7084.11255	28491.29765	8764.50715	12653.74085	37.5379385202189	11.9057838865404	3.9475248878573	-0.503927150950181	0.529819082661474	-1.59264234500723
Rbmx2	559.1503	697.1847	492.94635	1183.8435	994.01655	944.16325	5.39174092240239	8.20813372152091	6.16381571397978	-0.500110270391524	-0.0742335428093011	-0.413230505835239
Uxs1	3870.9168	4939.5579	3495.4408	7572.6727	8604.57225	5412.85835	58.1448696618731	69.3968055347177	106.827094994967	-0.498907522386064	-0.66871284045779	0.622336450625262
