GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
3074	Hccs	243.358	1208.8614	4_RASMC_H3K27AC_PDGF_2H_REP2_27041_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_27041_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_27041_lociStitched_2,1_RASMC_H3K27AC_UNSTIM_NEW_32604_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_30383_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_32605_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_32606_lociStitched
533	Arsa	371.83	850.6078	5_RASMC_H3K27AC_PDGF_24H_REP2_16542_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_16542_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_16542_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_24080_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_27571_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_27571_lociStitched_3
4715	Ndrg1	572	1876.6737	4_RASMC_H3K27AC_UNSTIM_NEW_28465_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_28465_lociStitched,3_RASMC_H3K27AC_UNSTIM_REP1_12410_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_26595_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_26595_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_NEW_26595_lociStitched_3
6547	Rpap3	206.2476	2636.2355	8_RASMC_H3K27AC_UNSTIM_NEW_28955_lociStitched,8_RASMC_H3K27AC_UNSTIM_NEW_28955_lociStitched,7_RASMC_H3K27AC_PDGF_2H_NEW_27076_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_27074_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_27074_lociStitched_2
1726	Dctn6	689.4	4395.7894	4_RASMC_H3K27AC_PDGF_2H_REP2_10392_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_10392_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_11801_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_11801_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_11438_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_11438_lociStitched_3,2_RASMC_H3K27AC_UNSTIM_REP1_5074_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_11441_lociStitched,5_RASMC_H3K27AC_UNSTIM_REP1_5076_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_5073_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_5073_lociStitched_2,6_RASMC_H3K27AC_UNSTIM_REP1_5073_lociStitched_3
6101	RGD1559896	926.6	10318.6139	2_RASMC_H3K27AC_PDGF_24H_NEW_14556_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_14556_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_15188_lociStitched,21_RASMC_H3K27AC_PDGF_2H_NEW_14200_lociStitched_1,21_RASMC_H3K27AC_PDGF_2H_NEW_14200_lociStitched_2,21_RASMC_H3K27AC_PDGF_2H_NEW_14200_lociStitched_3
3532	Kank4	101.5732	0	1_RASMC_H3K27AC_PDGF_2H_REP2_20106_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_20106_lociStitched_1
8224	Tspan12	492.4	108.8928	5_RASMC_H3K27AC_PDGF_2H_REP2_18009_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_18009_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_18009_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_18009_lociStitched_3
5768	Prdx4	362.6	181.9488	1_RASMC_H3K27AC_UNSTIM_NEW_32739_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_32739_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_27100_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_27100_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_27100_lociStitched_3
6233	Racgap1	601	280.8668	3_RASMC_H3K27AC_UNSTIM_NEW_29031_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_29031_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_29031_lociStitched_2,3_RASMC_H3K27AC_UNSTIM_NEW_29031_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_NEW_29032_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_29032_lociStitched_3
