brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_0	brd4_log2_24_v_0	h3k27ac_log2_2_v_0	h3k27ac_log2_24_v_0	rna_log2_2_v_0	rna_log2_24_v_0
Rbmx	632.61255	355.8259	608.15015	2505.04355	2139.79455	2092.4325	25.0168777647856	17.0527503803284	18.46277712872	-0.830150650953906	-0.0568946131894883	-0.227363400274985	-0.259654601311629	-0.552897299554933	-0.43828216877044
Zfp641	490.5971	276.1541	605.3973	1004.9503	1810.5233	1264.4437	2.49681550030307	1.84780646965339	2.17600457256435	-0.82906515896528	0.303343535017888	0.84928258885278	0.331378647276827	-0.434275554951477	-0.198407630480208
Pcyt1b	642.24325	363.80975	835.0533	2096.6461	1667.30285	1773.8442	1.36776498347454	0.321722869936887	3.12211680131777	-0.819935615095345	0.378748462813032	-0.330567184384682	-0.241204063956125	-2.08792996019756	1.19070415078105
Cyb5a	970.4836	550.4152	1183.29	2256.5632	1913.6588	1987.2476	65.2927048704571	53.5978596384077	66.5508965866055	-0.818183521983512	0.286027953387915	-0.237793560683116	-0.183355549388104	-0.284746419335243	0.0275362935383185
Xkr5	3170.81665	1801.6099	4025.12075	8849.4331	5849.36625	7463.042	5.22864294159821	2.36598633833401	1.37110131495223	-0.815567796853133	0.344177606291337	-0.597304713977985	-0.245821232997388	-1.14399481015659	-1.9311013731642
Poc5	661.1582	378.87425	794.7063	1730.22835	1620.1462	1452.5304	4.02918657907902	2.60566918534682	2.53344010390015	-0.803276425760837	0.265426264488601	-0.0948384466916554	-0.252394094599964	-0.628834682163946	-0.669390892968834
Eps15	2856.2194	1640.6923	2951.13075	8074.12665	7804.13655	8332.46165	23.688105816841	17.5130307969395	28.8602320458961	-0.799802106817094	0.0471610368700777	-0.049067195784211	0.0454365553974725	-0.435734062778697	0.284920059337831
Slc24a3	3573.35765	2067.0633	3297.2866	5273.62015	2042.9562	5533.70505	13.9305201857604	13.716060176302	2.97400305262671	-0.789697748208262	-0.116001026076853	-1.36813538633082	0.069452089388955	-0.0223829923450123	-2.22777109792401
Fmo4	624.7948	362.4906	630.6671	1131.54015	906.11995	743.51975	1.87791530764916	1.32837952637796	2.23667653013617	-0.785438862297262	0.0134962277591963	-0.320513827543161	-0.605844806116941	-0.499464607547288	0.252224627662381
Npr3	7841.182	4557.46205	5167.4095	29115.8091	8705.6971	14389.31945	171.694048312931	104.255912975835	4.76453778813354	-0.782840503316709	-0.601629929233054	-1.74177098044212	-1.01680434970675	-0.719710820067854	-5.17135995584046
Fam217b	1353.6999	788.2655	1327.3463	2264.6962	1448.4605	2448.2245	4.24958112577889	0.788994479479834	5.79668875451183	-0.780154406513203	-0.0283631312409103	-0.64479718907093	0.112418326501574	-2.42923353319613	0.44790837992048
Mtmr14	861.23385	504.56465	934.57975	1918.3497	2120.61635	1653.62645	6.9668129095178	4.15726715247562	9.39368388331065	-0.771365890347335	0.11791275354307	0.144617903949369	-0.214232366060372	-0.744863360139417	0.431192223855929
Rab39a	3838.86475	2256.5188	3204.93225	8584.63925	4413.85675	6687.21175	4.03894644299752	3.89447426947737	3.45820880151329	-0.766580934085306	-0.260385872766321	-0.959717701241011	-0.360352708653478	-0.0525504295195345	-0.223954036432318
Tk2	561.0703	332.5798	650.1383	1412.8853	2630.1963	1490.9038	5.41389318040619	4.33739707164659	8.13657936212795	-0.754481000545635	0.212565100177564	0.89652612607245	0.0775428208471087	-0.319836900227961	0.587755986887545
Mcc	438.2758	260.863	260.364	1287.50145	324.18565	750.30595	10.0628792045246	7.14609861643137	6.61806755729708	-0.748546689404996	-0.75130903688639	-1.98968192024604	-0.779023152966056	-0.493815421633145	-0.604561226169441
Angpt2	4986.32935	2969.964	4712.03765	9798.13945	3073.5302	8544.7473	2.09586173833412	1.37663356542716	1.21829943410103	-0.747532733129063	-0.0816271102378909	-1.67261116380356	-0.197469997959608	-0.606398955379702	-0.78267478406287
Hccs	1657.3277	990.4161	1165.212	4681.56455	2367.04665	1982.46205	9.02356609942906	8.47819271469513	8.59775888072338	-0.74275221988187	-0.50826642754876	-0.983902611040168	-1.23969750129619	-0.0899409368919915	-0.0697370457070883
Arsa	1618.9552	967.8427	2638.48235	3891.40575	5332.8759	5335.67975	30.433099350056	27.3400114452342	40.9841198027105	-0.742218568075328	0.704645269031104	0.454622340405976	0.455380662472473	-0.154627420552874	0.429423746678267
Ndrg1	4567.62005	2739.3164	4173.0484	7540.70895	5029.9511	7128.32975	36.2596516646536	28.5259086278328	27.2867337787337	-0.737626735804046	-0.130340994049643	-0.584155792247765	-0.0811360906516931	-0.346092224610422	-0.410165351229195
Rpap3	5636.582	3384.0589	5564.82865	18927.3493	9332.91305	14697.6394	27.6505952924806	17.5580560771972	30.5751921559992	-0.736065904487619	-0.0184833181083182	-1.02007302157138	-0.364887920259129	-0.655177413561852	0.145051024968159
Dctn6	9698.3722	5835.3031	8690.8551	19474.9374	11503.58005	13605.12285	61.7991972957149	52.8567325983355	73.9327566752354	-0.732935026923984	-0.158244490021195	-0.759535776125615	-0.517468707182182	-0.225500853384157	0.258625607814419
RGD1559896	19375.9797	11700.5924	20908.83695	76763.6635	36761.57495	60280.31745	318.998972242253	221.298549167072	120.721569330436	-0.727687683464714	0.109843555877505	-1.06222498862744	-0.348736550416341	-0.527557783028143	-1.40186831035418
Kank4	114.1812	69.5016	181.5946	170.0898	264.6892	244.9104	0.361712129966794	0.260631795697237	1.04118469281448	-0.716207033999409	0.669396172779719	0.638002702773045	0.525957410946256	-0.472828883597231	1.52531212244178
Tspan12	848.1008	516.3908	1060.918	2513.1204	2597.9048	3240.9924	29.4978949492139	23.7787790375172	15.9469319644844	-0.715772446891302	0.323005502546502	0.0478687739896113	0.366955847268466	-0.310937364151563	-0.887333113357474
Prdx4	737.65245	450.2564	668.3982	2055.429	1903.5509	1678.8305	226.320069973631	228.702523321482	182.058177835107	-0.712194457802195	-0.142233392506014	-0.11074639086727	-0.291982959622672	0.015107755486107	-0.313964981529526
Racgap1	1033.6476	631.2707	1612.6483	1771.167	1728.9012	1854.80965	6.62837700657734	4.23631669396612	2.28680033359583	-0.711413717459031	0.641687424126072	-0.0348448205928609	0.0665708902390385	-0.645845217219855	-1.53532525616884
Mageh1	167.78565	102.6056	280.64015	251.4868	837.5777	463.72905	18.0494129950685	20.1158494701786	28.3503020574496	-0.709509861037968	0.742102090581843	1.73574035383124	0.88279942815579	0.156380744279692	0.651412188007132
Nox4	6187.3608	3788.1878	3830.8766	17174.3276	5479.9151	8428.6183	23.3880801826288	12.1425271919672	11.2853012298984	-0.707816309037415	-0.691649608956102	-1.64802816964909	-1.02688556128573	-0.945704725372487	-1.05132851471107
Hpse	113.3861	69.6199	77.7702	115.23905	380.27345	179.5141	0.843951253722492	1.22164341260251	1.58462455732501	-0.703672144229744	-0.543954437109518	1.72240754367703	0.639467493037101	0.533591659123591	0.908909488340665
Ankrd1	22603.32885	13881.0276	23737.2067	58178.1899	14464.1858	37416.7634	48.2202293185056	10.4913279116172	10.6051526708042	-0.703420884385697	0.0706149166853756	-2.00799329536267	-0.636793641588374	-2.20044121719093	-2.18487312198527
Adamts10	10003.447	6148.8731	11162.63195	41648.21345	15887.2007	40679.84875	51.0897503543025	21.4003887763712	35.8900615761345	-0.702103273289183	0.158180017805451	-1.39038966432516	-0.0339402956035002	-1.25539688014636	-0.509449487778711
Mospd1	1312.57535	807.00015	1059.2548	5370.0799	2950.53625	2870.2214	7.59258815025802	6.78835699747543	12.2313718050299	-0.701759398062098	-0.309350578565379	-0.863966370591962	-0.903781527622847	-0.161529315501969	0.687922559523202
